Source,Target
GMT,IZUMO4
GMT,OVGP1
GMT,IZUMO3
GMT,IZUMO2
GMT,IZUMO1
GMT,ADAM30
GMT,ACR
GMT,CATSPERB
GMT,SPAM1
GMT,KCNU1
GMT,ADAM2
GMT,CATSPERD
GMT,CD9
GMT,CATSPERG
GMT,ZP2
GMT,ZP1
GMT,ZP4
GMT,ZP3
GMT,CATSPER2
GMT,CATSPER1
GMT,B4GALT1
GMT,CATSPER4
GMT,CATSPER3
GMT,HVCN1
GMT,ADAM21
GMT,ADAM20
GMT,MMGT1
GMT,DMTN
GMT,TUSC3
GMT,MRS2
GMT,NIPA2
GMT,NIPA1
GMT,CTNS
GMT,ADD2
GMT,ADD3
GMT,ADD1
GMT,AZGP1
GMT,NIPAL1
GMT,MAGT1
GMT,NIPAL2
GMT,NIPAL3
GMT,PIP
GMT,NIPAL4
GMT,ANKH
GMT,MAP2K4
GMT,MAP2K2
GMT,MAP2K3
GMT,HSP90AA1
GMT,SYT2
GMT,MAP2K1
GMT,SYT1
GMT,TXNRD1
GMT,EEF2
GMT,PDCD6IP
GMT,VAMP1
GMT,VAMP2
GMT,HBEGF
GMT,STX1B
GMT,STX1A
GMT,CALM1
GMT,SNAP25
GMT,HSP90AB1
GMT,FURIN
GMT,ANTXR2
GMT,ANTXR1
GMT,SV2C
GMT,SV2B
GMT,SV2A
GMT,MAP2K6
GMT,MAP2K7
GMT,UNC13B
GMT,HSPA8
GMT,SYN3
GMT,SYN2
GMT,SYN1
GMT,SLC5A7
GMT,NAAA
GMT,DNAJC5
GMT,STXBP1
GMT,GLS2
GMT,MAOA
GMT,SLC1A1
GMT,SLC1A2
GMT,SLC1A3
GMT,SLC1A6
GMT,GLS
GMT,SLC1A7
GMT,ABAT
GMT,PPFIA2
GMT,PPFIA1
GMT,SLC18A2
GMT,PPFIA4
GMT,SLC18A3
GMT,PPFIA3
GMT,SLC38A2
GMT,SLC32A1
GMT,GAD2
GMT,GAD1
GMT,SLC6A13
GMT,SLC6A12
GMT,CASK
GMT,SLC6A11
GMT,ALDH5A1
GMT,APBA1
GMT,CPLX1
GMT,RAB3A
GMT,SLC22A1
GMT,SLC22A2
GMT,CHAT
GMT,LIN7B
GMT,SLC6A1
GMT,LIN7A
GMT,LIN7C
GMT,RIMS1
GMT,SLC17A7
GMT,ARL6IP5
GMT,BZRAP1
GMT,SLC14A1
GMT,SLC14A2
GMT,SLC6A19
GMT,SLC6A18
GMT,SLC6A15
GMT,SLC6A14
GMT,SLC6A6
GMT,SLC6A7
GMT,SLC6A9
GMT,RHAG
GMT,RHCG
GMT,SLC44A4
GMT,SLC44A5
GMT,SLC44A2
GMT,SLC44A3
GMT,SLC44A1
GMT,SLC6A2
GMT,SLC6A3
GMT,SLC6A20
GMT,SLC6A5
