Year,lupus,arthritis,ulcerative colitis,crohn's disease,osteoporosis,psoriasis,sarcoidosis,scleroderma,rheumatic fever
1945,194.99829376492954,648.3693267683908,53.62453078535563,24.374786720616193,4.874957344123239,121.87393360308097,165.74854970019013,38.99965875298591,399.7465022181056
1946,187.28327986797456,871.5162528509707,79.7344656863654,33.377218194292496,14.834319197463332,72.31730608763374,135.36316267685288,96.42307478351167,359.7322405384858
1947,162.95157571099153,767.1022290545734,70.71483474250577,43.04381245196003,24.596464258262877,63.028439661798615,112.22136817832437,67.6402767102229,298.2321291314374
1948,183.72740506239666,760.3487994120724,111.6497307686872,39.57205647497774,22.612603699987282,74.90424975620786,152.63507497491415,66.42452336871263,247.32535296861087
1949,143.25051331433937,896.1115443997008,124.15044487242746,70.03358428701037,20.69174081207124,65.25856717653238,124.15044487242746,57.300205325735746,268.9926305569262
1950,209.80977247295786,1170.272286460276,131.71391271913467,48.95561357702349,36.13390525923163,90.91756807161507,145.7012308839985,72.26781051846326,307.72099962700486
1951,179.15450631375154,1147.1667581703123,132.9210853295576,42.38063590217779,35.638262008649505,117.50994500149297,130.0314965180455,71.27652401729901,314.9651804548213
1952,229.24331219611395,1016.8050137730861,103.52923776598695,42.52093693960178,27.731045830175074,91.51245123957776,134.9577563735187,58.23519624336765,326.30197260172673
1953,246.96118394476883,944.6953839374243,95.47941684110022,47.73970842055011,55.08427894678859,85.38063236752231,133.1203407880724,55.08427894678859,306.63581947045645
1954,224.6512242547809,991.108342300504,111.3816994204376,42.47607181287874,49.08346076154878,87.78388174661607,134.03560438730625,64.18606407279455,370.9576938324744
1955,194.35898380648845,934.9496140454303,116.0627107090879,51.58342698181684,70.92721209999816,105.93025183765958,162.11934194285294,58.95248797921924,356.47832574934137
1956,203.70785676908127,959.6695821185616,148.57591388203633,56.06638259699484,74.75517679599312,75.68961650594304,141.10039620243703,62.607460566644235,367.2348060103162
1957,182.91206771333017,936.0794053564543,104.00882281738382,53.79766697450887,61.8673170206852,82.48975602758027,145.25370083117397,78.00661711303786,366.7207632095688
1958,228.37515643698217,1021.2936995861842,106.87957321250765,66.68554567959879,62.11804255085915,97.74456695502836,164.43011263462714,80.38805506581772,374.5352565566507
1959,210.9090909090909,883.6363636363637,135.45454545454547,59.99999999999999,61.81818181818182,100,152.72727272727275,70.9090909090909,313.6363636363636
1960,171.98053857532392,896.4374186879578,134.5547218905384,65.04963376165101,67.72290638199284,79.3070877368074,136.33690363743295,86.4358147243856,292.2778064907059
1961,183.05874521551007,890.331169911799,133.1336328840073,64.07056082542853,69.89515726410384,100.68230986853054,170.57746713263438,69.0630720585788,286.23731070061575
1962,194.12223336038315,959.4730058714019,128.88443362451667,56.48638757617707,89.1052874441103,105.81252883988098,133.65793116616544,73.98921189555587,288.79660126975034
1963,285.4316800904338,1201.0739013706373,160.37869153596156,52.28204041260421,121.52041825632331,174.5089727285573,160.37869153596156,109.50967924261693,394.23484527342094
1964,298.5627043365616,1346.6164949725496,207.8835358707051,72.17321571772253,146.19702671025846,149.2813521682808,247.3629017333909,126.45734377891556,460.1813583369317
1965,215.57455428122012,1061.4642095316772,157.8616814815234,63.37099758398072,107.50437090139586,120.51805790524904,114.29412064253665,87.70093415640189,327.03961253161475
1966,205.34450703443684,997.8633071565336,137.08133307434025,55.49851541471265,114.88192690845521,133.19643699531036,119.87679329577934,90.46258012598163,319.1164636345978
1967,208.2769249994793,1008.5810093099785,164.01807843708997,77.58315456230605,128.09030887467978,140.06623206214982,148.9180013746277,109.34538562472663,311.8946951867203
1968,230.1136636593357,1081.870502214664,156.13140018639686,90.31600995397727,122.98350291605415,134.51320631443423,150.84695279547267,118.17945983339578,287.28177634297026
1969,220.57423600050151,1150.2365948910365,144.4180787287494,95.65956340232276,127.23650666134193,142.09624466558625,143.02497829085152,89.6227948380985,286.04995658170304
1970,224.22137759426866,1079.63504780655,162.24148460073098,121.68111345054824,124.41552049438079,157.22840502037133,131.25153810396216,92.96983949030653,229.23445717462835
1971,274.1392341095394,1130.9920441484915,162.78414553975912,140.8708951786377,129.24345621151207,149.81507899950358,164.57298230393232,99.72764960265462,260.7229583782406
1972,261.1825644177165,1095.2109213818533,141.34585839076422,147.49133049471052,122.03151749264737,166.36670909968834,144.41859444273737,98.76651595627935,226.94350555287303
1973,263.4915003439667,1119.7307108213233,141.04799525801832,149.70124650084153,135.42338195018323,161.38313567865285,148.8359213765592,87.83050011465558,199.02477858493384
1974,270.5116753859896,1137.339968525371,168.8571307047765,142.48649568287186,111.86253243162774,157.37314448555995,121.6451873591085,105.0572072646846,202.45842371655823
1975,288.9338341519792,1084.7057690455551,138.04616520594564,125.60595845773541,108.35018780699221,155.3019358566888,115.17223666891394,101.92943593694821,182.59013130437575
1976,254.55173008887738,994.2814110559386,145.5141631170624,165.125236313432,117.2742177142902,181.59853779838247,151.3974850759733,88.24982938366318,149.43637775633633
1977,281.1131623514334,1024.8996841767998,137.69586378408067,153.33445219169096,96.50153334452192,147.23158842286742,152.95302320613948,102.22296812779396,127.01585218863951
1978,281.0710052875107,981.1799845154094,132.46296724385294,140.90243607102363,84.76162169897515,165.4869756979991,106.04376048053601,86.9632222625849,120.72109757126765
1979,289.6372267146914,990.1551703967357,120.17995086448026,144.64135679264882,101.74526813600542,185.7648798023235,118.05287208811778,95.00951867752423,111.67163575903034
1980,290.0637142409168,962.8404863377853,138.26132816397507,168.19419302421713,92.29299998574625,161.4236640677338,117.94974129452514,83.02806562424277,97.63815442507519
1981,312.07024225113724,1043.407736521034,136.46461440812442,159.3850276808068,92.38689657604287,163.61648859268664,121.65450121654501,101.20244014245917,98.73408794386263
1982,350.3479807646784,1065.585412538129,136.96035927576716,164.01425740431375,115.6554144995367,175.51216410894605,131.211405923451,100.09942307562241,95.36499090312675
1983,334.123942533267,1125.4871294423297,145.08863655458111,179.66432499854588,98.23373165388121,179.34118772336865,145.41177382975837,102.11137895600808,82.72314244537365
1984,340.35946736728965,1052.820143749234,139.22367871071958,170.65114568830867,118.16727583573491,160.59435625548016,143.30924941780617,124.13849456147685,74.48309673688611
1985,351.3942416685559,1025.5461823909127,157.79928170005607,173.01244496414466,129.75933372310848,165.25671467264854,149.44695677075256,109.77341335656075,78.45219487167249
1986,316.36517580292684,1059.222645568027,146.4547649286605,165.04765500749437,133.58276410485246,165.61974393299695,153.31983203469147,106.4085401434799,78.66222725660477
