"Source","Target","degree"
"TNF","inflammatory",21
"IL6","inflammatory",20
"CRP","inflammatory",16
"IL10","inflammatory",15
"IL1B","inflammatory",15
"VEGFA","inflammatory",15
"IFNG","inflammatory",14
"IL1","inflammatory",14
"IL17A","inflammatory",14
"CD79A","inflammatory",13
"IL2RA","inflammatory",13
"TGFB1","inflammatory",13
"CCL2","inflammatory",11
"HLA-DRB4","inflammatory",11
"ICAM1","inflammatory",11
"IL33","inflammatory",11
"IL8","inflammatory",11
"MMP9","inflammatory",11
"TLR4","inflammatory",11
"ACE","inflammatory",10
"ACTH","inflammatory",10
"CXCL10","inflammatory",10
"HLA-DRB1","inflammatory",10
"HMGB1","inflammatory",10
"IFNA1","inflammatory",10
"IL12","inflammatory",10
"IL2","inflammatory",10
"IL4","inflammatory",10
"NF-KB","inflammatory",10
"SPP1","inflammatory",10
"ALB","inflammatory",9
"EDN1","inflammatory",9
"HLA-E","inflammatory",9
"IGHM","inflammatory",9
"IL18","inflammatory",9
"IL21","inflammatory",9
"IL23A","inflammatory",9
"LEP","inflammatory",9
"MIF","inflammatory",9
"PPARG","inflammatory",9
"ADIPOQ","inflammatory",8
"CD40LG","inflammatory",8
"ESR1","inflammatory",8
"FAS","inflammatory",8
"HSPD1","inflammatory",8
"IGAN","inflammatory",8
"IL23R","inflammatory",8
"IL37","inflammatory",8
"MPO","inflammatory",8
"MSC","inflammatory",8
"PRL","inflammatory",8
"SUPEROXIDE DISMUTASE","inflammatory",8
"TLR2","inflammatory",8
"TLR9","inflammatory",8
"TNFRSF11B","inflammatory",8
"TNFSF13B","inflammatory",8
"VDR","inflammatory",8
"CCL5","inflammatory",7
"CD14","inflammatory",7
"CSF3","inflammatory",7
"F2","inflammatory",7
"FGF2","inflammatory",7
"FN1","inflammatory",7
"GH1","inflammatory",7
"IL1RN","inflammatory",7
"IL27","inflammatory",7
"MS4A1","inflammatory",7
"NFKB1","inflammatory",7
"NOD2","inflammatory",7
"PTH","inflammatory",7
"SUBSTANCE P","inflammatory",7
"TBX21","inflammatory",7
"ADA","inflammatory",6
"AKT1","inflammatory",6
"BCL2","inflammatory",6
"BGLAP","inflammatory",6
"CAT","inflammatory",6
"CCR5","inflammatory",6
"CD28","inflammatory",6
"CD40","inflammatory",6
"CXCR3","inflammatory",6
"EVA1C","inflammatory",6
"FOXP3","inflammatory",6
"HLA-B","inflammatory",6
"HLA-G","inflammatory",6
"HP","inflammatory",6
"IFNB1","inflammatory",6
"IGF1","inflammatory",6
"IL13","inflammatory",6
"IL22","inflammatory",6
"MBL2","inflammatory",6
"MIR146A","inflammatory",6
"MIR155","inflammatory",6
"MMP3","inflammatory",6
"NGF","inflammatory",6
"PTGS2","inflammatory",6
"PTPN22","inflammatory",6
"RBM45","inflammatory",6
"S100A12","inflammatory",6
"SERPINA1","inflammatory",6
"SIRT1","inflammatory",6
"STAT3","inflammatory",6
"TNFRSF25","inflammatory",6
"TNFSF11","inflammatory",6
"TP53","inflammatory",6
"VIP","inflammatory",6
"VWF","inflammatory",6
"ADM","inflammatory",5
"ANXA2","inflammatory",5
"B2M","inflammatory",5
"CD274","inflammatory",5
"CD69","inflammatory",5
"CSF2","inflammatory",5
"CTLA4","inflammatory",5
"CTNNB1","inflammatory",5
"DKK1","inflammatory",5
"EGF","inflammatory",5
"EPO","inflammatory",5
"FASLG","inflammatory",5
"FCGR1A","inflammatory",5
"HGF","inflammatory",5
"HIF1A","inflammatory",5
"HSPA4","inflammatory",5
"IGHE","inflammatory",5
"IL12B","inflammatory",5
"IL15","inflammatory",5
"IL17F","inflammatory",5
"IL5","inflammatory",5
"ITGAL","inflammatory",5
"LTF","inflammatory",5
"LYZ","inflammatory",5
"MEFV","inflammatory",5
"MIR21","inflammatory",5
"MTOR","inflammatory",5
"MUC1","inflammatory",5
"PDCD1","inflammatory",5
"RETN","inflammatory",5
"SST","inflammatory",5
"STAT1","inflammatory",5
"STAT4","inflammatory",5
"ADAM17","inflammatory",4
"AHR","inflammatory",4
"BDNF","inflammatory",4
"C3","inflammatory",4
"C5AR1","inflammatory",4
"CCR2","inflammatory",4
"CCR6","inflammatory",4
"CD19","inflammatory",4
"CD44","inflammatory",4
"CD80","inflammatory",4
"CHI3L1","inflammatory",4
"CIMT","inflammatory",4
"CNR1","inflammatory",4
"CP","inflammatory",4
"CRH","inflammatory",4
"CXCR2","inflammatory",4
"CXCR4","inflammatory",4
"ERAP1","inflammatory",4
"FCGR2A","inflammatory",4
"GATA3","inflammatory",4
"GCG","inflammatory",4
"GRN","inflammatory",4
"HAMP","inflammatory",4
"IL11","inflammatory",4
"IL17B","inflammatory",4
"IL17RA","inflammatory",4
"IL1A","inflammatory",4
"IL9","inflammatory",4
"IRAK1","inflammatory",4
"IRF5","inflammatory",4
"KDR","inflammatory",4
"KLRK1","inflammatory",4
"LCN2","inflammatory",4
"LEPR","inflammatory",4
"MAPK8","inflammatory",4
"MMP2","inflammatory",4
"MTHFR","inflammatory",4
"NFE2L2","inflammatory",4
"NLRP3","inflammatory",4
"NOS2","inflammatory",4
"PLG","inflammatory",4
"PROC","inflammatory",4
"PRTN3","inflammatory",4
"PTGER4","inflammatory",4
"PTX3","inflammatory",4
"SAA1","inflammatory",4
"SELE","inflammatory",4
"SERPINE1","inflammatory",4
"SLC11A1","inflammatory",4
"SOST","inflammatory",4
"ST2","inflammatory",4
"TAP1","inflammatory",4
"TAP2","inflammatory",4
"THM","inflammatory",4
"TIMP1","inflammatory",4
"TLR3","inflammatory",4
"TNC","inflammatory",4
"TNFSF15","inflammatory",4
"TRAF3IP2","inflammatory",4
"ABCB1","inflammatory",3
"AHSG","inflammatory",3
"ALOX5","inflammatory",3
"ANGPT1","inflammatory",3
"ANGPT2","inflammatory",3
"APOE","inflammatory",3
"AQP4","inflammatory",3
"AVP","inflammatory",3
"BMP2","inflammatory",3
"C19ORF10","inflammatory",3
"CA1","inflammatory",3
"CASP8","inflammatory",3
"CAV1","inflammatory",3
"CCL11","inflammatory",3
"CCL17","inflammatory",3
"CCL20","inflammatory",3
"CCL3","inflammatory",3
"CCR9","inflammatory",3
"CD163","inflammatory",3
"CD4","inflammatory",3
"CDKN1A","inflammatory",3
"CEACAM5","inflammatory",3
"CFH","inflammatory",3
"CLEC7A","inflammatory",3
"COMP","inflammatory",3
"CSF1","inflammatory",3
"CSF1R","inflammatory",3
"CTGF","inflammatory",3
"CXCL1","inflammatory",3
"CXCL12","inflammatory",3
"CYP27A1","inflammatory",3
"DCN","inflammatory",3
"DPEP1","inflammatory",3
"ELANE","inflammatory",3
"ETS1","inflammatory",3
"EXOSC1","inflammatory",3
"F3","inflammatory",3
"F5","inflammatory",3
"FCER2","inflammatory",3
"FCGR2B","inflammatory",3
"FCGR3A","inflammatory",3
"FNDC5","inflammatory",3
"FOXO3","inflammatory",3
"GPI","inflammatory",3
"HLA-C","inflammatory",3
"HLA-DPB1","inflammatory",3
"HMOX1","inflammatory",3
"HSP90B2P","inflammatory",3
"ICOS","inflammatory",3
"IFI16","inflammatory",3
"IGHA1","inflammatory",3
"IGHG1","inflammatory",3
"IL17C","inflammatory",3
"IL31","inflammatory",3
"IL6R","inflammatory",3
"ITGAM","inflammatory",3
"JAK2","inflammatory",3
"LCT","inflammatory",3
"LGALS3","inflammatory",3
"LPL","inflammatory",3
"LYN","inflammatory",3
"MIR31","inflammatory",3
"MMP1","inflammatory",3
"MMP13","inflammatory",3
"MRAP","inflammatory",3
"MYD88","inflammatory",3
"NAMPT","inflammatory",3
"NFATC1","inflammatory",3
"NOS3","inflammatory",3
"P2RX7","inflammatory",3
"PARP1","inflammatory",3
"PEPD","inflammatory",3
"PLA2G1B","inflammatory",3
"REL","inflammatory",3
"RNASE3","inflammatory",3
"S100A4","inflammatory",3
"S100A8","inflammatory",3
"S100A9","inflammatory",3
"SDC1","inflammatory",3
"SELL","inflammatory",3
"SELP","inflammatory",3
"SELPLG","inflammatory",3
"SOCS1","inflammatory",3
"SOCS3","inflammatory",3
"SSB","inflammatory",3
"SYK","inflammatory",3
"THBD","inflammatory",3
"THBS1","inflammatory",3
"THPO","inflammatory",3
"TLR7","inflammatory",3
"TNFAIP3","inflammatory",3
"TNFRSF10A","inflammatory",3
"TNFRSF1A","inflammatory",3
"TNFRSF1B","inflammatory",3
"TNIP1","inflammatory",3
"TRAF6","inflammatory",3
"TRIM21","inflammatory",3
"TRPV1","inflammatory",3
"TYK2","inflammatory",3
"VCAM1","inflammatory",3
"AAVS1","inflammatory",2
"ADAMTS7","inflammatory",2
"AGTR1","inflammatory",2
"ALOX15","inflammatory",2
"ANGIOTENSIN II","inflammatory",2
"ANXA1","inflammatory",2
"ANXA5","inflammatory",2
"AOC1","inflammatory",2
"APOA1","inflammatory",2
"APOH","inflammatory",2
"APP","inflammatory",2
"ASIC3","inflammatory",2
"ATF4","inflammatory",2
"ATG16L1","inflammatory",2
"ATG5","inflammatory",2
"BCHE","inflammatory",2
"BCR","inflammatory",2
"BLK","inflammatory",2
"BMP7","inflammatory",2
"BSG","inflammatory",2
"BTF3P11","inflammatory",2
"C1ORF228","inflammatory",2
"C5","inflammatory",2
"CABIN1","inflammatory",2
"CALR","inflammatory",2
"CAMP","inflammatory",2
"CASP1","inflammatory",2
"CASP3","inflammatory",2
"CCL21","inflammatory",2
"CCL25","inflammatory",2
"CCL3L1","inflammatory",2
"CCR1","inflammatory",2
"CCR4","inflammatory",2
"CCR7","inflammatory",2
"CD109","inflammatory",2
"CD2","inflammatory",2
"CD200R1","inflammatory",2
"CD22","inflammatory",2
"CD247","inflammatory",2
"CD86","inflammatory",2
"CD8A","inflammatory",2
"CDH1","inflammatory",2
"CDK9","inflammatory",2
"CDR3","inflammatory",2
"CFP","inflammatory",2
"CLDN2","inflammatory",2
"CLEC16A","inflammatory",2
"CNR2","inflammatory",2
"COL1A1","inflammatory",2
"COL1A2","inflammatory",2
"COL2A1","inflammatory",2
"COMT","inflammatory",2
"CPB2","inflammatory",2
"CR1","inflammatory",2
"CTSK","inflammatory",2
"CTSS","inflammatory",2
"CX3CL1","inflammatory",2
"CX3CR1","inflammatory",2
"CXCL13","inflammatory",2
"CXCL16","inflammatory",2
"CXCL9","inflammatory",2
"CXCR5","inflammatory",2
"CYP2D6","inflammatory",2
"CYR61","inflammatory",2
"DEFB4A","inflammatory",2
"DMBT1","inflammatory",2
"DPP4","inflammatory",2
"EGFR","inflammatory",2
"EIM","inflammatory",2
"ELN","inflammatory",2
"EMD","inflammatory",2
"ENO1","inflammatory",2
"EPAS1","inflammatory",2
"EPOR","inflammatory",2
"FAP","inflammatory",2
"FCGR3B","inflammatory",2
"FCN2","inflammatory",2
"FLI1","inflammatory",2
"FLT1","inflammatory",2
"GAPDH","inflammatory",2
"GAS6","inflammatory",2
"GPBAR1","inflammatory",2
"GSTT1","inflammatory",2
"GUSB","inflammatory",2
"HDAC","inflammatory",2
"HRH4","inflammatory",2
"HSD11B1","inflammatory",2
"HSD11B2","inflammatory",2
"HSP90AA1","inflammatory",2
"HSPB3","inflammatory",2
"HTRA1","inflammatory",2
"IFIH1","inflammatory",2
"IKBKB","inflammatory",2
"IL10RA","inflammatory",2
"IL17D","inflammatory",2
"IL18BP","inflammatory",2
"IL19","inflammatory",2
"IL1F10","inflammatory",2
"IL1RL1","inflammatory",2
"IL21R","inflammatory",2
"IL3","inflammatory",2
"IL34","inflammatory",2
"IL7R","inflammatory",2
"INS","inflammatory",2
"INSRR","inflammatory",2
"ITGAE","inflammatory",2
"ITGB2","inflammatory",2
"ITLN1","inflammatory",2
"JAK3","inflammatory",2
"JUN","inflammatory",2
"JUND","inflammatory",2
"KIAA0101","inflammatory",2
"KIR3DL1","inflammatory",2
"KLK4","inflammatory",2
"KLRB1","inflammatory",2
"KRT1","inflammatory",2
"LGALS1","inflammatory",2
"LIF","inflammatory",2
"LMNA","inflammatory",2
"LPA","inflammatory",2
"LRG1","inflammatory",2
"LRP1","inflammatory",2
"LSM2","inflammatory",2
"LTA","inflammatory",2
"MADCAM1","inflammatory",2
"MAPK3","inflammatory",2
"MBP","inflammatory",2
"MDK","inflammatory",2
"MET","inflammatory",2
"MIP","inflammatory",2
"MIR126","inflammatory",2
"MIR142","inflammatory",2
"MIR29A","inflammatory",2
"MMP12","inflammatory",2
"MMRN1","inflammatory",2
"MSH2","inflammatory",2
"MST1","inflammatory",2
"MT1JP","inflammatory",2
"MUC2","inflammatory",2
"MUC5AC","inflammatory",2
"NCAM1","inflammatory",2
"NELFCD","inflammatory",2
"NELL1","inflammatory",2
"NFKBIA","inflammatory",2
"NKX2-3","inflammatory",2
