Term,HEPATITIS C,MALARIA,DISEASE DUE TO PARVOVIRIDAE,HEPATITIS B,HIV INFECTION,HYDROPHOBIA,BACTERIAL INFECTION DUE TO PSEUDOMONAS,SALMONELLA INFECTION,HUMAN FLU,CLASSICAL DENGUE FEVERS,EBOLA VIRUS DISEASE,MYCOBACTERIUM INFECTION,TOXOPLASMA GONDII INFECTION,YELLOW FEVER,CRYPTOCOCCOSES,YERSINIA INFECTION,GIARDIASES,HERPES ZOSTER,DISEASE DUE TO ROTAVIRUS,BACILLARY DYSENTERY,MEASLES,DISEASE DUE TO TRICHOMONADIDAE,RESPIRATORY SYNCYTIAL VIRUS INFECTION,HELICOBACTER PYLORI INFECTION,CANDIDA INFECTION,CHIKUNGUNYA FEVER,GERMAN MEASLES,ANTHRAX,FASCIOLIASES,HEPATITIS A,SYPHILIS,CHLAMYDIA INFECTION,CRYPTOSPORIDIOSES,AFRICAN SLEEPING SICKNESSES,DISEASE CAUSED BY RICKETTSIAE,PCP,WEST NILE VIRAL INFECTION,BRUCELLOSIS,ZIKA VIRUS DISEASE,HERPES,LISTERIA INFECTION,AMERICAN TRYPANOSOMIASIS,DERMATOPHYTOSIS,FUNGUS DISEASE,E COLI INFECTION,LEISHMANIASES,SMALLPOX,ANGUILLULIASES,ASPERGILLOSES,HUMAN PAPILLOMA VIRUS INFECTION,BABESIA PARASITE INFECTIONS,NECROTIZING FASCIITIDES,LEPTOSPIROSIS,STREPTOCOCCAL INFECTION,ENTOMOPHTHORAMYCOSES,AMOEBIC DYSENTERY,COCCIDIOIDES IMMITIS INFECTIONS,HISTOPLASMOSES
Interferon alpha/beta signaling,5.40271563635793e-23,0.000536876151613319,NA,2.87714443201328e-10,1.24663336891692e-12,0.000462847623194585,NA,NA,1.81320436944315e-11,1.11743656161605e-12,0.00446942872570279,2.97614985072578e-07,0.00245089015604812,0.00918681757684811,NA,NA,NA,0.00487962158188878,NA,NA,6.42576504367324e-12,NA,1.21238193841842e-05,NA,NA,4.37273741687469e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.64522240582275e-24,NA,4.81822906020795e-10,NA,5.06744311175469e-06,NA,NA,1.30485018859702e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways,2.90072555475188e-15,NA,NA,6.43667943682058e-06,2.72342033810337e-14,3.41155823341661e-06,NA,0.000601614407915508,1.71795404139447e-08,1.60502640276809e-07,NA,4.39017230639956e-08,NA,NA,NA,NA,NA,0.00741151663802176,0.00395528488665418,NA,1.57401613325014e-08,NA,1.25355955045921e-07,NA,NA,1.06471991214097e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.63773151366368e-11,0.00903170639581488,7.03118441127203e-05,0.000883330094315451,4.10315993038792e-07,NA,NA,0.00566201486831814,NA,NA,NA,NA,0.000359508777470246,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interferon gamma signaling,2.80046807284848e-14,4.66724394646583e-05,NA,2.86650338425126e-07,1.30633839136908e-10,NA,NA,NA,0.000536961442539502,9.94794740403905e-07,NA,2.56288121301033e-06,2.89787023619429e-05,NA,NA,NA,NA,0.00120421045182405,NA,NA,6.71751713208845e-08,NA,7.29015804471937e-05,NA,NA,0.00040655319366275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8905189257322e-10,NA,NA,NA,0.00040655319366275,NA,NA,5.99830524830477e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MyD88-independent TLR3/TLR4 cascade,1.4421909790356e-09,NA,NA,0.000258359739779643,7.3224037693163e-11,0.00176151724909302,NA,6.27039117163595e-06,3.50375983340057e-07,6.06711201851355e-05,NA,4.41001209448421e-05,0.000557781743996391,NA,NA,0.00239932943208134,NA,NA,NA,0.000712400816657166,NA,NA,8.24704574576107e-06,8.54824807474972e-07,NA,0.00596819973964943,NA,0.000746529926955816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9052675552569e-05,NA,NA,7.34205532835455e-05,NA,NA,NA,NA,2.17092487444138e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
Growth hormone receptor signaling,1.22206446291665e-06,NA,NA,0.00172046368185057,4.08302770544031e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000172163826917529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lipid digestion, mobilization, and transport,8.76520092184023e-06,NA,NA,NA,0.000261767975206212,NA,0.000738415332979965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00343925342271938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costimulation by the CD28 family,1.03946063950651e-05,0.000150893952497559,NA,3.39696057644777e-07,8.70802448478953e-05,NA,NA,0.000298814625923646,0.00114952367247136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00317089352381392,NA,NA,NA,NA,0.000151333642436184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00676158466542951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISG15 antiviral mechanism,1.03946063950651e-05,NA,NA,6.83868057002801e-05,0.00301685196455058,NA,NA,NA,1.5751576786452e-06,0.00556082135504565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00317089352381392,NA,0.00223274550967569,NA,NA,0.00257318462309538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000511008653105612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways,1.48467660855598e-05,NA,NA,0.00790957851626888,6.89510873757357e-06,NA,NA,9.2237854607618e-06,6.78266449005661e-07,NA,NA,0.000271587128984872,NA,NA,NA,NA,NA,NA,NA,2.23940442651e-05,NA,NA,0.00559543259772247,NA,8.86133467728704e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000745755940972771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cytosolic sensors of pathogen-associated DNA,1.86410029324673e-05,NA,0.001566412163749,0.000746908902916687,2.85842750133657e-07,0.000412777057856622,NA,NA,0.000123709742465655,0.000672655329038121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000142965756290902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00317461289164247,NA,NA,NA,0.00200481749075862,NA,NA,NA,NA,NA,NA,NA,0.000210897423045239,NA,NA,NA,NA,NA,NA,NA,NA,NA
