Id,Label,Class,Size,Dis_class
A2M, ,GENE,1, 
AAVS1, ,GENE,1, 
ABCA1, ,GENE,1, 
ABCB1, ,GENE,1, 
ABCD1, ,GENE,1, 
ACACA, ,GENE,1, 
ACAN, ,GENE,1, 
ACAT2, ,GENE,1, 
ACE, ,GENE,1, 
ACKR2, ,GENE,1, 
ACLY, ,GENE,1, 
ACO1, ,GENE,1, 
ACP1, ,GENE,1, 
ACSM3, ,GENE,1, 
ACTA2, ,GENE,1, 
ACTB, ,GENE,1, 
ACTH, ,GENE,1, 
ADA, ,GENE,1, 
ADAM17, ,GENE,1, 
ADAM23, ,GENE,1, 
ADAM33, ,GENE,1, 
ADAMTS12, ,GENE,1, 
ADAMTS13, ,GENE,1, 
ADAMTS4, ,GENE,1, 
ADAMTS5, ,GENE,1, 
ADAMTS7, ,GENE,1, 
ADAMTSL5, ,GENE,1, 
ADAR, ,GENE,1, 
ADCY1, ,GENE,1, 
ADCYAP1, ,GENE,1, 
ADIPOQ, ,GENE,1, 
ADM, ,GENE,1, 
ADORA2A, ,GENE,1, 
ADRB2, ,GENE,1, 
ADRBK1, ,GENE,1, 
AFF1, ,GENE,1, 
AFP, ,GENE,1, 
AGTR1, ,GENE,1, 
AHR, ,GENE,1, 
AHSG, ,GENE,1, 
AICDA, ,GENE,1, 
AIM2, ,GENE,1, 
AIS, ,GENE,1, 
AKR1B10, ,GENE,1, 
AKT1, ,GENE,1, 
ALB, ,GENE,1, 
ALDH2, ,GENE,1, 
ALOX12, ,GENE,1, 
ALOX15, ,GENE,1, 
ALOX5, ,GENE,1, 
ALPI, ,GENE,1, 
ALPL, ,GENE,1, 
AMIGO2, ,GENE,1, 
ANG, ,GENE,1, 
ANGIOTENSIN II, ,GENE,1, 
ANGPT1, ,GENE,1, 
ANGPT2, ,GENE,1, 
ANGPTL6, ,GENE,1, 
ANKH, ,GENE,1, 
ANPEP, ,GENE,1, 
ANTXR2, ,GENE,1, 
ANXA1, ,GENE,1, 
ANXA11, ,GENE,1, 
ANXA2, ,GENE,1, 
ANXA5, ,GENE,1, 
AOC1, ,GENE,1, 
APOA1, ,GENE,1, 
APOB, ,GENE,1, 
APOE, ,GENE,1, 
APOH, ,GENE,1, 
APOL1, ,GENE,1, 
APOM, ,GENE,1, 
APP, ,GENE,1, 
APTX, ,GENE,1, 
AQP1, ,GENE,1, 
AQP3, ,GENE,1, 
AQP4, ,GENE,1, 
AQP5, ,GENE,1, 
AR, ,GENE,1, 
AREG, ,GENE,1, 
ARG1, ,GENE,1, 
ARSD, ,GENE,1, 
ARTN, ,GENE,1, 
ASIC3, ,GENE,1, 
ASPG, ,GENE,1, 
ATF4, ,GENE,1, 
ATG16L1, ,GENE,1, 
ATG5, ,GENE,1, 
ATP6V0A4, ,GENE,1, 
ATP6V1H, ,GENE,1, 
AVP, ,GENE,1, 
B2M, ,GENE,1, 
B3GAT1, ,GENE,1, 
BANK1, ,GENE,1, 
BAX, ,GENE,1, 
BCHE, ,GENE,1, 
BCKDHA, ,GENE,1, 
BCL2, ,GENE,1, 
BCL2L1, ,GENE,1, 
BCL2L11, ,GENE,1, 
BCR, ,GENE,1, 
BDKRB1, ,GENE,1, 
BDNF, ,GENE,1, 
BECN1, ,GENE,1, 
BGLAP, ,GENE,1, 
BIRC5, ,GENE,1, 
BLK, ,GENE,1, 
BMI1, ,GENE,1, 
BMP2, ,GENE,1, 
BMP3, ,GENE,1, 
BMP6, ,GENE,1, 
BMP7, ,GENE,1, 
BP1, ,GENE,1, 
BPI, ,GENE,1, 
BPIFA2, ,GENE,1, 
BSG, ,GENE,1, 
BTF3P11, ,GENE,1, 
BTLA, ,GENE,1, 
BTNL2, ,GENE,1, 
BW52, ,GENE,1, 
C10ORF54, ,GENE,1, 
C10ORF67, ,GENE,1, 
C18ORF8, ,GENE,1, 
C19ORF10, ,GENE,1, 
C1ORF228, ,GENE,1, 
C1QTNF6, ,GENE,1, 
C1R, ,GENE,1, 
C1S, ,GENE,1, 
C2, ,GENE,1, 
C3, ,GENE,1, 
C3AR1, ,GENE,1, 
C4A, ,GENE,1, 
C4B, ,GENE,1, 
C5, ,GENE,1, 
C5AR1, ,GENE,1, 
C9ORF3, ,GENE,1, 
CA1, ,GENE,1, 
CA2, ,GENE,1, 
CA5A, ,GENE,1, 
CABIN1, ,GENE,1, 
CALCR, ,GENE,1, 
CALR, ,GENE,1, 
CAMP, ,GENE,1, 
CARD14, ,GENE,1, 
CARD8, ,GENE,1, 
CARD9, ,GENE,1, 
CARS, ,GENE,1, 
CARS2, ,GENE,1, 
CASP1, ,GENE,1, 
CASP10, ,GENE,1, 
CASP14, ,GENE,1, 
CASP3, ,GENE,1, 
CASP8, ,GENE,1, 
CASR, ,GENE,1, 
CAT, ,GENE,1, 
CAV1, ,GENE,1, 
CBS, ,GENE,1, 
CCDC183, ,GENE,1, 
CCHCR1, ,GENE,1, 
CCL11, ,GENE,1, 
CCL13, ,GENE,1, 
CCL16, ,GENE,1, 
CCL17, ,GENE,1, 
CCL18, ,GENE,1, 
CCL19, ,GENE,1, 
CCL2, ,GENE,1, 
CCL20, ,GENE,1, 
CCL21, ,GENE,1, 
CCL25, ,GENE,1, 
CCL26, ,GENE,1, 
CCL3, ,GENE,1, 
CCL3L1, ,GENE,1, 
CCL5, ,GENE,1, 
CCL7, ,GENE,1, 
CCND1, ,GENE,1, 
CCR1, ,GENE,1, 
CCR10, ,GENE,1, 
CCR2, ,GENE,1, 
CCR4, ,GENE,1, 
CCR5, ,GENE,1, 
CCR6, ,GENE,1, 
CCR7, ,GENE,1, 
CCR9, ,GENE,1, 
CCT4, ,GENE,1, 
CD109, ,GENE,1, 
CD14, ,GENE,1, 
CD163, ,GENE,1, 
CD180, ,GENE,1, 
CD19, ,GENE,1, 
CD1A, ,GENE,1, 
CD1C, ,GENE,1, 
CD1D, ,GENE,1, 
CD2, ,GENE,1, 
CD200, ,GENE,1, 
CD200R1, ,GENE,1, 
CD209, ,GENE,1, 
CD22, ,GENE,1, 
CD226, ,GENE,1, 
CD24, ,GENE,1, 
CD247, ,GENE,1, 
CD248, ,GENE,1, 
CD27, ,GENE,1, 
CD274, ,GENE,1, 
CD276, ,GENE,1, 
CD28, ,GENE,1, 
CD34, ,GENE,1, 
CD38, ,GENE,1, 
CD4, ,GENE,1, 
CD40, ,GENE,1, 
CD40LG, ,GENE,1, 
CD44, ,GENE,1, 
CD5, ,GENE,1, 
CD55, ,GENE,1, 
CD6, ,GENE,1, 
CD68, ,GENE,1, 
CD69, ,GENE,1, 
CD70, ,GENE,1, 
CD72, ,GENE,1, 
CD74, ,GENE,1, 
CD79A, ,GENE,1, 
CD80, ,GENE,1, 
CD83, ,GENE,1, 
CD86, ,GENE,1, 
CD8A, ,GENE,1, 
CD97, ,GENE,1, 
CDH1, ,GENE,1, 
CDH11, ,GENE,1, 
CDK5, ,GENE,1, 
CDK5R1, ,GENE,1, 
CDK5R2, ,GENE,1, 
CDK9, ,GENE,1, 
CDKN1A, ,GENE,1, 
CDKN2A, ,GENE,1, 
CDR1, ,GENE,1, 
CDR3, ,GENE,1, 
CDSN, ,GENE,1, 
CDX2, ,GENE,1, 
CEACAM1, ,GENE,1, 
CEACAM5, ,GENE,1, 
CEACAM6, ,GENE,1, 
CEBPZ, ,GENE,1, 
CEL, ,GENE,1, 
CENPA, ,GENE,1, 
CFH, ,GENE,1, 
CFI, ,GENE,1, 
CFP, ,GENE,1, 
CHGA, ,GENE,1, 
CHI3L1, ,GENE,1, 
CHI3L2, ,GENE,1, 
CHUK, ,GENE,1, 
CIC, ,GENE,1, 
CIMT, ,GENE,1, 
CISH, ,GENE,1, 
CIT, ,GENE,1, 
CKAP4, ,GENE,1, 
CKLF, ,GENE,1, 
CLCN7, ,GENE,1, 
CLDN1, ,GENE,1, 
CLDN11, ,GENE,1, 
CLDN2, ,GENE,1, 
CLEC12A, ,GENE,1, 
CLEC16A, ,GENE,1, 
CLEC4C, ,GENE,1, 
CLEC5A, ,GENE,1, 
CLEC7A, ,GENE,1, 
CLU, ,GENE,1, 
CNOT3, ,GENE,1, 
CNR1, ,GENE,1, 
CNR2, ,GENE,1, 
CNTNAP3, ,GENE,1, 
COL1A1, ,GENE,1, 
COL1A2, ,GENE,1, 
COL2A1, ,GENE,1, 
COMP, ,GENE,1, 
COMT, ,GENE,1, 
CORT, ,GENE,1, 
CP, ,GENE,1, 
CPB2, ,GENE,1, 
CR1, ,GENE,1, 
CR2, ,GENE,1, 
CREG1, ,GENE,1, 
CREM, ,GENE,1, 
CRH, ,GENE,1, 
CRHR1, ,GENE,1, 
CRISP3, ,GENE,1, 
CRP, ,GENE,1, 
CSDA, ,GENE,1, 
CSE, ,GENE,1, 
CSF1, ,GENE,1, 
CSF1R, ,GENE,1, 
CSF2, ,GENE,1, 
CSF3, ,GENE,1, 
CSK, ,GENE,1, 
CST3, ,GENE,1, 
CST4, ,GENE,1, 
CTGF, ,GENE,1, 
CTHRC1, ,GENE,1, 
CTLA4, ,GENE,1, 
CTNNB1, ,GENE,1, 
CTSB, ,GENE,1, 
CTSC, ,GENE,1, 
CTSG, ,GENE,1, 
CTSH, ,GENE,1, 
CTSK, ,GENE,1, 
CTSL, ,GENE,1, 
CTSS, ,GENE,1, 
CX3CL1, ,GENE,1, 
CX3CR1, ,GENE,1, 
CXCL1, ,GENE,1, 
CXCL10, ,GENE,1, 
CXCL11, ,GENE,1, 
CXCL12, ,GENE,1, 
CXCL13, ,GENE,1, 
CXCL16, ,GENE,1, 
CXCL2, ,GENE,1, 
CXCL5, ,GENE,1, 
CXCL9, ,GENE,1, 
CXCR2, ,GENE,1, 
CXCR3, ,GENE,1, 
CXCR4, ,GENE,1, 
CXCR5, ,GENE,1, 
CXCR6, ,GENE,1, 
CYBB, ,GENE,1, 
CYCLIN E, ,GENE,1, 
CYCS, ,GENE,1, 
CYP1A1, ,GENE,1, 
CYP27A1, ,GENE,1, 
CYP2D6, ,GENE,1, 
CYP3A, ,GENE,1, 
CYR61, ,GENE,1, 
DAG1, ,GENE,1, 
DAP, ,GENE,1, 
DBP, ,GENE,1, 
DCN, ,GENE,1, 
DDIT3, ,GENE,1, 
DDOST, ,GENE,1, 
DDR2, ,GENE,1, 
DDX46, ,GENE,1, 
DEFA1, ,GENE,1, 
DEFA5, ,GENE,1, 
DEFB104A, ,GENE,1, 
DEFB4A, ,GENE,1, 
DEK, ,GENE,1, 
DHS, ,GENE,1, 
DHX9, ,GENE,1, 
DKK1, ,GENE,1, 
DLG5, ,GENE,1, 
DLL1, ,GENE,1, 
DMBT1, ,GENE,1, 
DNAJC5, ,GENE,1, 
DNASE1, ,GENE,1, 
DNASE1L3, ,GENE,1, 
DNASE2, ,GENE,1, 
DNMT1, ,GENE,1, 
DPEP1, ,GENE,1, 
DPP4, ,GENE,1, 
DRD2, ,GENE,1, 
DUSP1, ,GENE,1, 
DUSP2, ,GENE,1, 
DUSP22, ,GENE,1, 
DUT, ,GENE,1, 
DYT10, ,GENE,1, 
E2F1, ,GENE,1, 
EBI3, ,GENE,1, 
ECD, ,GENE,1, 
EDN1, ,GENE,1, 
EDNRA, ,GENE,1, 
EEF1A1, ,GENE,1, 
EFNA2, ,GENE,1, 
EGF, ,GENE,1, 
EGFL7, ,GENE,1, 
EGFR, ,GENE,1, 
EGLN1, ,GENE,1, 
EGR1, ,GENE,1, 
EGR2, ,GENE,1, 
EIF2A, ,GENE,1, 
EIF2AK1, ,GENE,1, 
EIF2AK4, ,GENE,1, 
EIF2S1, ,GENE,1, 
EIM, ,GENE,1, 
ELANE, ,GENE,1, 
ELAVL1, ,GENE,1, 
ELF3, ,GENE,1, 
ELK1, ,GENE,1, 
ELN, ,GENE,1, 
ELOVL6, ,GENE,1, 
EMB, ,GENE,1, 
EMD, ,GENE,1, 
ENG, ,GENE,1, 
ENO1, ,GENE,1, 
ENPEP, ,GENE,1, 
ENPP2, ,GENE,1, 
ENTPD1, ,GENE,1, 
EP300, ,GENE,1, 
EPAS1, ,GENE,1, 
EPHA2, ,GENE,1, 
EPHB2, ,GENE,1, 
EPO, ,GENE,1, 
EPOR, ,GENE,1, 
EPX, ,GENE,1, 
ERAP1, ,GENE,1, 
ERAP2, ,GENE,1, 
ERBB2, ,GENE,1, 
ERI1, ,GENE,1, 
ERVW-4, ,GENE,1, 
ESAT, ,GENE,1, 
ESR1, ,GENE,1, 
ESR2, ,GENE,1, 
ESRRA, ,GENE,1, 
ETS1, ,GENE,1, 
ETV3, ,GENE,1, 
EVA1C, ,GENE,1, 
EXOSC1, ,GENE,1, 
EXOSC10, ,GENE,1, 
EZH2, ,GENE,1, 
F10, ,GENE,1, 
F12, ,GENE,1, 
F2, ,GENE,1, 
F2R, ,GENE,1, 
F2RL1, ,GENE,1, 
F2RL3, ,GENE,1, 
F3, ,GENE,1, 
F5, ,GENE,1, 
F8, ,GENE,1, 
FABP5, ,GENE,1, 
FAP, ,GENE,1, 
FAS, ,GENE,1, 
FASLG, ,GENE,1, 
FBL, ,GENE,1, 
FBN1, ,GENE,1, 
FCAR, ,GENE,1, 
FCER2, ,GENE,1, 
FCGR1A, ,GENE,1, 
FCGR2A, ,GENE,1, 
FCGR2B, ,GENE,1, 
FCGR3A, ,GENE,1, 
FCGR3B, ,GENE,1, 
FCGRT, ,GENE,1, 
FCN2, ,GENE,1, 
FCN3, ,GENE,1, 
FCRL3, ,GENE,1, 
FDPS, ,GENE,1, 
FFAR2, ,GENE,1, 
FFAR4, ,GENE,1, 
FGF10, ,GENE,1, 
FGF2, ,GENE,1, 
FGF21, ,GENE,1, 
FGF23, ,GENE,1, 
FGF7, ,GENE,1, 
FGFR1, ,GENE,1, 
FGFR3, ,GENE,1, 
FHIT, ,GENE,1, 
FHL2, ,GENE,1, 
FKBP11, ,GENE,1, 
FLG, ,GENE,1, 
FLI1, ,GENE,1, 
FLT1, ,GENE,1, 
FLT3, ,GENE,1, 
FLT3LG, ,GENE,1, 
FLVCR1, ,GENE,1, 
FN1, ,GENE,1, 
FNDC5, ,GENE,1, 
FOS, ,GENE,1, 
FOSL1, ,GENE,1, 
FOSL2, ,GENE,1, 
FOXO1, ,GENE,1, 
FOXO3, ,GENE,1, 
FOXP3, ,GENE,1, 
FST, ,GENE,1, 
FSTL1, ,GENE,1, 
FUT1, ,GENE,1, 
FUT2, ,GENE,1, 
FUT3, ,GENE,1, 
FXN, ,GENE,1, 
FZD8, ,GENE,1, 
G6PD, ,GENE,1, 
GABRP, ,GENE,1, 
GAPDH, ,GENE,1, 
GAS5, ,GENE,1, 
GAS6, ,GENE,1, 
GAST, ,GENE,1, 
GATA3, ,GENE,1, 
GBP1, ,GENE,1, 
GC, ,GENE,1, 
GCG, ,GENE,1, 
GDF11, ,GENE,1, 
GDF15, ,GENE,1, 
GGTLC1, ,GENE,1, 
GH1, ,GENE,1, 
GHR, ,GENE,1, 
GHRL, ,GENE,1, 
GHSR, ,GENE,1, 
GIF, ,GENE,1, 
GIP, ,GENE,1, 
GJB2, ,GENE,1, 
GLB1, ,GENE,1, 
GLP1R, ,GENE,1, 
GLS, ,GENE,1, 
GNAQ, ,GENE,1, 
GOPC, ,GENE,1, 
