Source,Target,Doc.1990,Doc.1992,Doc.1994,Doc.1996,Doc.1998,Doc.2000,Doc.2002,Doc.2004,Doc.2006,Doc.2008,Doc.2010,Doc.2012,Doc.2014,Doc.2016,Doc.2018
AAK1,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9
AARS,MALARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
AAVS1,DISEASE DUE TO PARVOVIRIDAE,0,0,0,0,0,0,0,0,0,0,0,0,0,50,52
AAVS1,HEPATITIS B,0,0,0,0,0,0,0,3,7,9,11,18,22,27,31
AAVS1,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,2,6,7,7
AAVS1,HIV INFECTION,0,0,0,0,0,3,4,5,5,5,8,9,6,10,9
AAVS1,HYDROPHOBIA,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
ABAT,BACTERIAL INFECTION DUE TO PSEUDOMONAS,0,0,0,3,3,3,3,4,4,4,4,5,5,5,5
ABCA1,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3
ABCA1,HIV INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
ABCA4,SALMONELLA INFECTION,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4
ABCB1,HIV INFECTION,0,0,0,0,0,3,5,6,8,12,14,15,15,15,18
ABCB1,SALMONELLA INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ABCC1,HEPATITIS B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ABCC1,HIV INFECTION,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3
ABCE1,HIV INFECTION,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ABCG2,BACTERIAL INFECTION DUE TO PSEUDOMONAS,0,0,0,0,0,0,0,0,3,4,4,8,9,11,12
ABCG2,HIV INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ABCG2,SALMONELLA INFECTION,0,0,0,0,0,0,0,0,0,2,3,4,5,7,7
ABHD2,HEPATITIS B,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
ABHD5,HUMAN FLU,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ABL1,CLASSICAL DENGUE FEVERS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
ABL1,EBOLA VIRUS DISEASE,0,0,0,0,0,0,0,0,0,0,0,0,5,16,17
ABL1,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
ABL1,HIV INFECTION,0,0,0,0,0,2,2,2,2,2,3,3,3,3,3
ABL1,MYCOBACTERIUM INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ACCS,SALMONELLA INFECTION,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
ACE,HIV INFECTION,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
ACE,TOXOPLASMA GONDII INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
ACE2,HUMAN FLU,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
ACE2,MALARIA,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5
ACER3,BACTERIAL INFECTION DUE TO PSEUDOMONAS,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6
ACHE,YELLOW FEVER,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3
ACHE,MALARIA,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
ACKR2,CLASSICAL DENGUE FEVERS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
ACKR2,HIV INFECTION,0,0,0,0,0,0,0,0,0,2,2,4,4,4,5
ACLY,CRYPTOCOCCOSES,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4
ACOT1,HIV INFECTION,0,0,0,8,10,10,10,13,13,15,13,14,16,17,15
ACP1,YERSINIA INFECTION,0,0,0,0,0,0,2,3,3,3,3,3,3,5,5
ACPP,HIV INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ACRV1,HIV INFECTION,0,0,0,2,2,3,4,4,4,4,4,4,4,4,4
ACSM1,SALMONELLA INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4
ACSS2,BACTERIAL INFECTION DUE TO PSEUDOMONAS,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5
ACSS2,GIARDIASES,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
ACSS2,SALMONELLA INFECTION,0,0,0,0,0,0,0,0,0,0,4,5,9,13,14
ACTA1,SALMONELLA INFECTION,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
ACTA2,HEPATITIS C,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
ACTG1,HIV INFECTION,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
ACTH,HERPES ZOSTER,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
ACTH,HIV INFECTION,0,0,0,0,2,3,3,4,4,4,4,4,4,4,4
ACTR1A,DISEASE DUE TO ROTAVIRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ACTR2,BACILLARY DYSENTERY,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
AD5,HUMAN FLU,0,0,0,0,0,0,0,0,0,0,0,2,4,6,8
AD5,HIV INFECTION,0,0,0,0,0,0,0,2,2,2,5,6,5,6,5
AD5,MALARIA,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4
ADA,BACTERIAL INFECTION DUE TO PSEUDOMONAS,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
ADA,CLASSICAL DENGUE FEVERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ADA,HEPATITIS B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ADA,HIV INFECTION,0,0,0,2,3,3,3,3,3,3,5,5,6,8,8
ADA,MALARIA,0,2,2,2,2,2,2,2,2,3,3,3,3,3,3
ADAM10,HIV INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
ADAM17,HIV INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
ADAM17,MALARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ADAMTS13,MALARIA,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
ADAMTS5,HUMAN FLU,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ADAMTS7,HUMAN FLU,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ADAP2,CLASSICAL DENGUE FEVERS,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
ADAR,CLASSICAL DENGUE FEVERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ADAR,HUMAN FLU,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
ADAR,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
ADAR,HIV INFECTION,0,0,0,0,0,0,0,0,0,0,0,3,4,6,7
ADAR,MEASLES,0,0,0,0,0,0,0,0,0,0,0,3,6,8,8
ADH1A,DISEASE DUE TO TRICHOMONADIDAE,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
ADH5,BACTERIAL INFECTION DUE TO PSEUDOMONAS,0,0,0,4,5,5,6,8,8,8,13,15,19,22,24
ADI1,HEPATITIS C,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4
ADIPOQ,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,5,6,7,8
ADIPOQ,HIV INFECTION,0,0,0,0,0,0,0,0,3,3,4,5,6,8,8
ADK,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
ADM,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5
ADM,SALMONELLA INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ADRM1,HIV INFECTION,0,0,0,8,8,10,10,10,10,12,11,11,12,12,12
AFF1,HIV INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
AFF4,HIV INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5
AFP,HEPATITIS B,0,0,0,8,8,8,9,12,12,12,14,14,20,36,41
AFP,HEPATITIS C,0,0,0,2,2,2,2,2,2,4,5,12,18,23,26
AFP,HERPES ZOSTER,0,0,0,8,8,8,11,13,13,13,13,13,13,13,13
AFP,HIV INFECTION,0,0,0,0,0,0,2,2,3,3,4,4,2,2,5
AGFG1,HUMAN FLU,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
AGO2,CLASSICAL DENGUE FEVERS,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
AGO2,HEPATITIS B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AGO2,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,3,6,7,9
AGTR1,HIV INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
AGTR1,MALARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AGTR2,HIV INFECTION,0,0,0,0,0,0,0,0,0,0,4,5,5,5,7
AGXT,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
AHCY,BACTERIAL INFECTION DUE TO PSEUDOMONAS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
AHCY,DISEASE DUE TO TRICHOMONADIDAE,0,0,0,2,2,2,2,2,2,2,2,3,3,3,3
AHCY,MALARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
AHI1,BACTERIAL INFECTION DUE TO PSEUDOMONAS,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3
AHR,CLASSICAL DENGUE FEVERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AHR,HUMAN FLU,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5
AHR,RESPIRATORY SYNCYTIAL VIRUS INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4
AHSG,HELICOBACTER PYLORI INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
AICDA,HUMAN FLU,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
AICDA,HEPATITIS B,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9
AICDA,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3
AICDA,MALARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
AIDA,SALMONELLA INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
AIFM2,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AIM2,HEPATITIS B,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
AIRE,CANDIDA INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
AKR1B1,GIARDIASES,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
AKR1B1,HIV INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AKR1B1,MALARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AKR1B10,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
AKR1C1,HEPATITIS B,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
AKR1C3,HIV INFECTION,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
AKT1,CHIKUNGUNYA FEVER,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
AKT1,CLASSICAL DENGUE FEVERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AKT1,DISEASE DUE TO ROTAVIRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AKT1,EBOLA VIRUS DISEASE,0,0,0,0,0,0,0,0,0,3,4,5,7,7,7
AKT1,HUMAN FLU,0,0,0,0,0,0,0,0,0,0,0,4,8,9,10
AKT1,GERMAN MEASLES,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3
AKT1,HELICOBACTER PYLORI INFECTION,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5
AKT1,HEPATITIS B,0,0,0,0,0,0,0,0,0,3,3,4,5,8,10
AKT1,HEPATITIS C,0,0,0,0,0,0,0,0,0,0,0,6,9,16,20
AKT1,HIV INFECTION,0,0,0,0,0,0,0,0,0,3,4,4,7,9,10
AKT1,SALMONELLA INFECTION,0,0,0,0,0,0,0,0,0,0,2,6,14,18,19
AKT1,MALARIA,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5
ALAD,BACTERIAL INFECTION DUE TO PSEUDOMONAS,0,0,0,0,0,0,0,0,0,3,3,3,4,5,5
ALB,ANTHRAX,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ALB,BACTERIAL INFECTION DUE TO PSEUDOMONAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ALB,CLASSICAL DENGUE FEVERS,0,0,0,0,0,0,0,0,0,0,0,0,3,9,13
ALB,FASCIOLIASES,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
