Id,Label,Class,Size,dis_class
AAK1,AAK1,GENE,1,INFECTIOUS
AARS,AARS,GENE,1,INFECTIOUS
AAVS1,AAVS1,GENE,1,INFECTIOUS
ABAT,ABAT,GENE,1,INFECTIOUS
ABCA1,ABCA1,GENE,1,INFECTIOUS
ABCA4,ABCA4,GENE,1,INFECTIOUS
ABCB1,ABCB1,GENE,1,INFECTIOUS
ABCC1,ABCC1,GENE,1,INFECTIOUS
ABCE1,ABCE1,GENE,1,INFECTIOUS
ABCG2,ABCG2,GENE,1,INFECTIOUS
ABHD2,ABHD2,GENE,1,INFECTIOUS
ABHD5,ABHD5,GENE,1,INFECTIOUS
ABL1,ABL1,GENE,1,INFECTIOUS
ACCS,ACCS,GENE,1,INFECTIOUS
ACE,ACE,GENE,1,INFECTIOUS
ACE2,ACE2,GENE,1,INFECTIOUS
ACER3,ACER3,GENE,1,INFECTIOUS
ACHE,ACHE,GENE,1,INFECTIOUS
ACKR2,ACKR2,GENE,1,INFECTIOUS
ACLY,ACLY,GENE,1,INFECTIOUS
ACOT1,ACOT1,GENE,1,INFECTIOUS
ACP1,ACP1,GENE,1,INFECTIOUS
ACPP,ACPP,GENE,1,INFECTIOUS
ACRV1,ACRV1,GENE,1,INFECTIOUS
ACSM1,ACSM1,GENE,1,INFECTIOUS
ACSS2,ACSS2,GENE,1,INFECTIOUS
ACTA1,ACTA1,GENE,1,INFECTIOUS
ACTA2,ACTA2,GENE,1,INFECTIOUS
ACTG1,ACTG1,GENE,1,INFECTIOUS
ACTH,ACTH,GENE,1,INFECTIOUS
ACTR1A,ACTR1A,GENE,1,INFECTIOUS
ACTR2,ACTR2,GENE,1,INFECTIOUS
AD5,AD5,GENE,1,INFECTIOUS
ADA,ADA,GENE,1,INFECTIOUS
ADAM10,ADAM10,GENE,1,INFECTIOUS
ADAM17,ADAM17,GENE,1,INFECTIOUS
ADAMTS13,ADAMTS13,GENE,1,INFECTIOUS
ADAMTS5,ADAMTS5,GENE,1,INFECTIOUS
ADAMTS7,ADAMTS7,GENE,1,INFECTIOUS
ADAP2,ADAP2,GENE,1,INFECTIOUS
ADAR,ADAR,GENE,1,INFECTIOUS
ADH1A,ADH1A,GENE,1,INFECTIOUS
ADH5,ADH5,GENE,1,INFECTIOUS
ADI1,ADI1,GENE,1,INFECTIOUS
ADIPOQ,ADIPOQ,GENE,1,INFECTIOUS
ADK,ADK,GENE,1,INFECTIOUS
