Source,Target,Doc.1990,Doc.1992,Doc.1994,Doc.1996,Doc.1998,Doc.2000,Doc.2002,Doc.2004,Doc.2006,Doc.2008,Doc.2010,Doc.2012,Doc.2014,Doc.2016,Doc.2018
A2M,SYSTEMIC LUPUS ERYTHEMATOSUS,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
AAVS1,ANGIITIDES,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4
AAVS1,GRANULOMATOSIS WITH POLYANGIITIS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ABCA1,SJOGREN'S SYNDROME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ABCB1,ASEPTIC NECROSIS OF BONE,0,0,0,0,0,0,0,0,0,0,2,2,2,5,6
ABCB1,CHRONIC ULCERATIVE COLITIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ABCB1,SYSTEMIC LUPUS ERYTHEMATOSUS,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2
ABCD1,SYSTEMIC LUPUS ERYTHEMATOSUS,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
ACACA,ARTHRITIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ACAN,ARTHRITIS,0,0,0,4,9,11,19,20,28,32,39,41,50,55,57
ACAT2,CHRONIC ULCERATIVE COLITIS,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
ACE,AGE RELATED OSTEOPOROSIS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ACE,ARTHRITIS,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
ACE,CHRONIC ULCERATIVE COLITIS,0,0,0,0,0,0,2,3,3,3,3,4,3,3,3
ACE,CROHN'S DISEASE,3,4,4,4,4,5,5,6,6,6,6,7,6,6,6
ACE,KAWASAKI DISEASE,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
ACE,POLYCYTHEMIA,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3
ACE,PSORIASIS,2,2,2,2,2,2,2,2,2,3,4,4,5,5,5
ACE,SARCOIDOSIS,59,62,65,67,68,73,69,73,71,73,75,84,81,94,97
ACE,SCLERODERMA,2,3,3,3,3,3,4,4,8,8,8,8,8,8,8
ACE,SYSTEMIC LUPUS ERYTHEMATOSUS,0,0,0,0,0,0,0,0,0,3,4,5,5,6,6
ACKR2,CROHN'S DISEASE,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3
ACLY,SYSTEMIC LUPUS ERYTHEMATOSUS,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3
ACO1,POLYCYTHEMIA,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
ACP1,AGE RELATED OSTEOPOROSIS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ACSM3,ANGIITIDES,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
ACTA2,SCLERODERMA,0,0,0,0,0,0,0,0,0,2,3,6,6,8,8
ACTB,SYSTEMIC LUPUS ERYTHEMATOSUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ACTH,ACTIVE RHEUMATIC FEVER,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8
ACTH,ACUTE GOUT,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
ACTH,AGE RELATED OSTEOPOROSIS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ACTH,ARTHRITIS,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
ACTH,ASEPTIC NECROSIS OF BONE,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5
ACTH,CHRONIC ULCERATIVE COLITIS,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4
ACTH,CROHN'S DISEASE,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
ACTH,PSORIASIS,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ACTH,SARCOIDOSIS,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3
ACTH,SYSTEMIC LUPUS ERYTHEMATOSUS,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
ADA,ARTHRITIS,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
ADA,BEHCET SYNDROME,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3
ADA,PSORIASIS,0,0,0,0,0,2,3,3,3,3,4,4,4,5,5
ADA,SARCOIDOSIS,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
ADA,SCLERODERMA,0,0,0,2,2,2,2,3,3,3,3,3,3,3,3
