Id,Label,Class,Size,dis_class
A2M,A2M,GENE,1,INFLAMMATORY
AAVS1,AAVS1,GENE,1,INFLAMMATORY
ABCA1,ABCA1,GENE,1,INFLAMMATORY
ABCB1,ABCB1,GENE,1,INFLAMMATORY
ABCD1,ABCD1,GENE,1,INFLAMMATORY
ACACA,ACACA,GENE,1,INFLAMMATORY
ACAN,ACAN,GENE,1,INFLAMMATORY
ACAT2,ACAT2,GENE,1,INFLAMMATORY
ACE,ACE,GENE,1,INFLAMMATORY
ACKR2,ACKR2,GENE,1,INFLAMMATORY
ACLY,ACLY,GENE,1,INFLAMMATORY
ACO1,ACO1,GENE,1,INFLAMMATORY
ACP1,ACP1,GENE,1,INFLAMMATORY
ACSM3,ACSM3,GENE,1,INFLAMMATORY
ACTA2,ACTA2,GENE,1,INFLAMMATORY
ACTB,ACTB,GENE,1,INFLAMMATORY
ACTH,ACTH,GENE,1,INFLAMMATORY
ADA,ADA,GENE,1,INFLAMMATORY
ADAM17,ADAM17,GENE,1,INFLAMMATORY
ADAM23,ADAM23,GENE,1,INFLAMMATORY
ADAM33,ADAM33,GENE,1,INFLAMMATORY
ADAMTS12,ADAMTS12,GENE,1,INFLAMMATORY
ADAMTS13,ADAMTS13,GENE,1,INFLAMMATORY
ADAMTS4,ADAMTS4,GENE,1,INFLAMMATORY
ADAMTS5,ADAMTS5,GENE,1,INFLAMMATORY
ADAMTS7,ADAMTS7,GENE,1,INFLAMMATORY
ADAMTSL5,ADAMTSL5,GENE,1,INFLAMMATORY
ADAR,ADAR,GENE,1,INFLAMMATORY
ADCY1,ADCY1,GENE,1,INFLAMMATORY
ADCYAP1,ADCYAP1,GENE,1,INFLAMMATORY
ADIPOQ,ADIPOQ,GENE,1,INFLAMMATORY
ADM,ADM,GENE,1,INFLAMMATORY
ADORA2A,ADORA2A,GENE,1,INFLAMMATORY
ADRB2,ADRB2,GENE,1,INFLAMMATORY
ADRBK1,ADRBK1,GENE,1,INFLAMMATORY
AFF1,AFF1,GENE,1,INFLAMMATORY
AFP,AFP,GENE,1,INFLAMMATORY
AGTR1,AGTR1,GENE,1,INFLAMMATORY
AHR,AHR,GENE,1,INFLAMMATORY
AHSG,AHSG,GENE,1,INFLAMMATORY
AICDA,AICDA,GENE,1,INFLAMMATORY
AIM2,AIM2,GENE,1,INFLAMMATORY
AIS,AIS,GENE,1,INFLAMMATORY
AKR1B10,AKR1B10,GENE,1,INFLAMMATORY
AKT1,AKT1,GENE,1,INFLAMMATORY
ALB,ALB,GENE,1,INFLAMMATORY
ALDH2,ALDH2,GENE,1,INFLAMMATORY
ALOX12,ALOX12,GENE,1,INFLAMMATORY
ALOX15,ALOX15,GENE,1,INFLAMMATORY
ALOX5,ALOX5,GENE,1,INFLAMMATORY
ALPI,ALPI,GENE,1,INFLAMMATORY
ALPL,ALPL,GENE,1,INFLAMMATORY
AMIGO2,AMIGO2,GENE,1,INFLAMMATORY
ANG,ANG,GENE,1,INFLAMMATORY
ANGIOTENSIN II,ANGIOTENSIN II,GENE,1,INFLAMMATORY
ANGPT1,ANGPT1,GENE,1,INFLAMMATORY
ANGPT2,ANGPT2,GENE,1,INFLAMMATORY
ANGPTL6,ANGPTL6,GENE,1,INFLAMMATORY
ANKH,ANKH,GENE,1,INFLAMMATORY
ANPEP,ANPEP,GENE,1,INFLAMMATORY
ANTXR2,ANTXR2,GENE,1,INFLAMMATORY
ANXA1,ANXA1,GENE,1,INFLAMMATORY
ANXA11,ANXA11,GENE,1,INFLAMMATORY
ANXA2,ANXA2,GENE,1,INFLAMMATORY
ANXA5,ANXA5,GENE,1,INFLAMMATORY
AOC1,AOC1,GENE,1,INFLAMMATORY
APOA1,APOA1,GENE,1,INFLAMMATORY
APOB,APOB,GENE,1,INFLAMMATORY
APOE,APOE,GENE,1,INFLAMMATORY
APOH,APOH,GENE,1,INFLAMMATORY
APOL1,APOL1,GENE,1,INFLAMMATORY
APOM,APOM,GENE,1,INFLAMMATORY
APP,APP,GENE,1,INFLAMMATORY
APTX,APTX,GENE,1,INFLAMMATORY
AQP1,AQP1,GENE,1,INFLAMMATORY
AQP3,AQP3,GENE,1,INFLAMMATORY
AQP4,AQP4,GENE,1,INFLAMMATORY
AQP5,AQP5,GENE,1,INFLAMMATORY
AR,AR,GENE,1,INFLAMMATORY
AREG,AREG,GENE,1,INFLAMMATORY
ARG1,ARG1,GENE,1,INFLAMMATORY
ARSD,ARSD,GENE,1,INFLAMMATORY
ARTN,ARTN,GENE,1,INFLAMMATORY
ASIC3,ASIC3,GENE,1,INFLAMMATORY
ASPG,ASPG,GENE,1,INFLAMMATORY
ATF4,ATF4,GENE,1,INFLAMMATORY
ATG16L1,ATG16L1,GENE,1,INFLAMMATORY
ATG5,ATG5,GENE,1,INFLAMMATORY
ATP6V0A4,ATP6V0A4,GENE,1,INFLAMMATORY
ATP6V1H,ATP6V1H,GENE,1,INFLAMMATORY
AVP,AVP,GENE,1,INFLAMMATORY
B2M,B2M,GENE,1,INFLAMMATORY
B3GAT1,B3GAT1,GENE,1,INFLAMMATORY
BANK1,BANK1,GENE,1,INFLAMMATORY
BAX,BAX,GENE,1,INFLAMMATORY
BCHE,BCHE,GENE,1,INFLAMMATORY
BCKDHA,BCKDHA,GENE,1,INFLAMMATORY
BCL2,BCL2,GENE,1,INFLAMMATORY
BCL2L1,BCL2L1,GENE,1,INFLAMMATORY
BCL2L11,BCL2L11,GENE,1,INFLAMMATORY
BCR,BCR,GENE,1,INFLAMMATORY
BDKRB1,BDKRB1,GENE,1,INFLAMMATORY
BDNF,BDNF,GENE,1,INFLAMMATORY
BECN1,BECN1,GENE,1,INFLAMMATORY
BGLAP,BGLAP,GENE,1,INFLAMMATORY
BIRC5,BIRC5,GENE,1,INFLAMMATORY
BLK,BLK,GENE,1,INFLAMMATORY
BMI1,BMI1,GENE,1,INFLAMMATORY
BMP2,BMP2,GENE,1,INFLAMMATORY
BMP3,BMP3,GENE,1,INFLAMMATORY
BMP6,BMP6,GENE,1,INFLAMMATORY
BMP7,BMP7,GENE,1,INFLAMMATORY
BP1,BP1,GENE,1,INFLAMMATORY
BPI,BPI,GENE,1,INFLAMMATORY
BPIFA2,BPIFA2,GENE,1,INFLAMMATORY
BSG,BSG,GENE,1,INFLAMMATORY
BTF3P11,BTF3P11,GENE,1,INFLAMMATORY
BTLA,BTLA,GENE,1,INFLAMMATORY
BTNL2,BTNL2,GENE,1,INFLAMMATORY
BW52,BW52,GENE,1,INFLAMMATORY
C10ORF54,C10ORF54,GENE,1,INFLAMMATORY
C10ORF67,C10ORF67,GENE,1,INFLAMMATORY
