Source,Target,Doc.1990,Doc.1992,Doc.1994,Doc.1996,Doc.1998,Doc.2000,Doc.2002,Doc.2004,Doc.2006,Doc.2008,Doc.2010,Doc.2012,Doc.2014,Doc.2016,Doc.2018
A2M,ALZHEIMER DISEASE,0,2,5,6,6,10,19,22,24,24,25,25,26,26,28
AADAT,SCHIZOPHRENIA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
AAVS1,ALZHEIMER DISEASE,0,0,0,0,0,0,0,0,0,0,0,2,2,5,4
AAVS1,PARKINSON'S DISEASE,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7
ABAT,AUTISM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ABAT,HUNTINGTON DISEASE,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ABCA1,ALZHEIMER DISEASE,0,0,0,0,0,0,0,6,7,11,15,16,18,19,23
ABCA1,DEMENTIA,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3
ABCA7,ALZHEIMER DISEASE,0,0,0,0,0,0,0,0,0,0,0,0,3,11,16
ABCB1,ALZHEIMER DISEASE,0,0,0,0,0,0,0,0,0,0,0,2,7,11,11
ABCB1,DEMENTIA,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3
ABCB1,DEPRESSION,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3
ABCB1,SCHIZOPHRENIA,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3
ABCB1,HUNTINGTON DISEASE,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ABCB1,PARKINSON'S DISEASE,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4
ABCB10P1,AUTISM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ABCD1,DEMENTIA,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4
ABCG2,ALZHEIMER DISEASE,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3
ABCG2,PARKINSON'S DISEASE,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
ABL1,ALZHEIMER DISEASE,0,0,0,0,0,0,0,0,0,0,0,0,4,17,17
ABL1,PARKINSON'S DISEASE,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5
ABP1,ALZHEIMER DISEASE,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ACAT1,ALZHEIMER DISEASE,0,0,0,0,0,0,0,0,0,0,0,0,6,12,12
ACCS,DEPRESSION,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
ACE,ALZHEIMER DISEASE,2,2,2,2,2,4,7,9,11,15,17,19,23,27,29
ACE,DEMENTIA,0,0,0,0,0,0,0,0,2,3,3,5,5,5,5
ACE,DEPRESSION,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4
ACE,SCHIZOPHRENIA,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3
ACHE,ALZHEIMER DISEASE,17,24,27,29,34,46,63,81,97,112,132,146,163,197,214
ACHE,AUTISM,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
ACHE,DEMENTIA,4,4,4,4,4,4,7,8,11,13,14,20,22,24,26
ACHE,DEPRESSION,0,0,0,0,0,0,0,0,0,5,10,11,12,12,12
ACHE,HUNTINGTON DISEASE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ACHE,PARKINSON'S DISEASE,5,5,5,6,6,7,7,7,8,8,8,9,11,11,13
ACP1,DEPRESSION,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
ACSL6,SCHIZOPHRENIA,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4
ACTB,ALZHEIMER DISEASE,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3
ACTB,AUTISM,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
ACTB,SCHIZOPHRENIA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
ACTH,ALZHEIMER DISEASE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ACTH,AUTISM,0,0,0,0,0,0,0,0,2,6,7,9,9,11,11
ACTH,DEMENTIA,0,2,3,4,4,4,4,4,4,4,4,4,4,5,5
ACTH,DEPRESSION,6,6,7,8,8,8,8,8,10,10,10,11,13,14,15
AD8,DEMENTIA,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6
ADA,AUTISM,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ADAM10,ALZHEIMER DISEASE,0,0,0,0,0,0,0,0,2,3,5,7,11,12,17
ADAMTS10,DEMENTIA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
ADAMTS12,SCHIZOPHRENIA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
ADCY3,DEPRESSION,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ADCY5,HUNTINGTON DISEASE,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
ADCY8,ANXIETY DISORDER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ADCYAP1,ALZHEIMER DISEASE,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
ADCYAP1,SCHIZOPHRENIA,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3
ADD3,ALZHEIMER DISEASE,0,0,0,0,0,0,0,0,2,4,8,13,15,17,19
ADIPOQ,ALZHEIMER DISEASE,0,0,0,0,0,0,0,0,0,0,0,3,5,10,14
ADIPOQ,AUTISM,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
ADIPOQ,DEMENTIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ADIPOQ,DEPRESSION,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4
ADIPOQ,SCHIZOPHRENIA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
