Id,Label,Class,Size,dis_class
A2M,A2M,GENE,1,PSYCHIATRIC
AADAT,AADAT,GENE,1,PSYCHIATRIC
AAVS1,AAVS1,GENE,1,PSYCHIATRIC
ABAT,ABAT,GENE,1,PSYCHIATRIC
ABCA1,ABCA1,GENE,1,PSYCHIATRIC
ABCA7,ABCA7,GENE,1,PSYCHIATRIC
ABCB1,ABCB1,GENE,1,PSYCHIATRIC
ABCB10P1,ABCB10P1,GENE,1,PSYCHIATRIC
ABCD1,ABCD1,GENE,1,PSYCHIATRIC
ABCG2,ABCG2,GENE,1,PSYCHIATRIC
ABL1,ABL1,GENE,1,PSYCHIATRIC
ABP1,ABP1,GENE,1,PSYCHIATRIC
ACAT1,ACAT1,GENE,1,PSYCHIATRIC
ACCS,ACCS,GENE,1,PSYCHIATRIC
ACE,ACE,GENE,1,PSYCHIATRIC
ACHE,ACHE,GENE,1,PSYCHIATRIC
ACP1,ACP1,GENE,1,PSYCHIATRIC
ACSL6,ACSL6,GENE,1,PSYCHIATRIC
ACTB,ACTB,GENE,1,PSYCHIATRIC
ACTH,ACTH,GENE,1,PSYCHIATRIC
AD8,AD8,GENE,1,PSYCHIATRIC
ADA,ADA,GENE,1,PSYCHIATRIC
ADAM10,ADAM10,GENE,1,PSYCHIATRIC
ADAMTS10,ADAMTS10,GENE,1,PSYCHIATRIC
ADAMTS12,ADAMTS12,GENE,1,PSYCHIATRIC
ADCY3,ADCY3,GENE,1,PSYCHIATRIC
ADCY5,ADCY5,GENE,1,PSYCHIATRIC
ADCY8,ADCY8,GENE,1,PSYCHIATRIC
ADCYAP1,ADCYAP1,GENE,1,PSYCHIATRIC
ADD3,ADD3,GENE,1,PSYCHIATRIC
ADIPOQ,ADIPOQ,GENE,1,PSYCHIATRIC
ADM,ADM,GENE,1,PSYCHIATRIC
ADNP,ADNP,GENE,1,PSYCHIATRIC
ADNP2,ADNP2,GENE,1,PSYCHIATRIC
ADORA2A,ADORA2A,GENE,1,PSYCHIATRIC
ADRA2A,ADRA2A,GENE,1,PSYCHIATRIC
ADRA2C,ADRA2C,GENE,1,PSYCHIATRIC
ADRB2,ADRB2,GENE,1,PSYCHIATRIC
ADSL,ADSL,GENE,1,PSYCHIATRIC
ADSS,ADSS,GENE,1,PSYCHIATRIC
AGPS,AGPS,GENE,1,PSYCHIATRIC
AGRN,AGRN,GENE,1,PSYCHIATRIC
AGT,AGT,GENE,1,PSYCHIATRIC
AGTR1,AGTR1,GENE,1,PSYCHIATRIC
AGXT,AGXT,GENE,1,PSYCHIATRIC
AGXT2L1,AGXT2L1,GENE,1,PSYCHIATRIC
AHI1,AHI1,GENE,1,PSYCHIATRIC
AHR,AHR,GENE,1,PSYCHIATRIC
AIFM1,AIFM1,GENE,1,PSYCHIATRIC
AIMP2,AIMP2,GENE,1,PSYCHIATRIC
AIS,AIS,GENE,1,PSYCHIATRIC
AKR1B1,AKR1B1,GENE,1,PSYCHIATRIC
AKT1,AKT1,GENE,1,PSYCHIATRIC
AKT3,AKT3,GENE,1,PSYCHIATRIC
ALB,ALB,GENE,1,PSYCHIATRIC
ALDH1A1,ALDH1A1,GENE,1,PSYCHIATRIC
ALDH1A3,ALDH1A3,GENE,1,PSYCHIATRIC
ALDH2,ALDH2,GENE,1,PSYCHIATRIC
ALDH7A1,ALDH7A1,GENE,1,PSYCHIATRIC
ALG1,ALG1,GENE,1,PSYCHIATRIC
ALG9,ALG9,GENE,1,PSYCHIATRIC
ALLC,ALLC,GENE,1,PSYCHIATRIC
ALMS1,ALMS1,GENE,1,PSYCHIATRIC
ALOX12,ALOX12,GENE,1,PSYCHIATRIC
ALOX15,ALOX15,GENE,1,PSYCHIATRIC
ALOX5,ALOX5,GENE,1,PSYCHIATRIC
ALX4,ALX4,GENE,1,PSYCHIATRIC
AMBP,AMBP,GENE,1,PSYCHIATRIC
AMBRA1,AMBRA1,GENE,1,PSYCHIATRIC
AMPD1,AMPD1,GENE,1,PSYCHIATRIC
AMY1A,AMY1A,GENE,1,PSYCHIATRIC
ANAPC1,ANAPC1,GENE,1,PSYCHIATRIC
ANG,ANG,GENE,1,PSYCHIATRIC
ANGIOTENSIN II,ANGIOTENSIN II,GENE,1,PSYCHIATRIC
ANK3,ANK3,GENE,1,PSYCHIATRIC
ANKK1,ANKK1,GENE,1,PSYCHIATRIC
ANKRD11,ANKRD11,GENE,1,PSYCHIATRIC
ANMA,ANMA,GENE,1,PSYCHIATRIC
ANXA1,ANXA1,GENE,1,PSYCHIATRIC
ANXA5,ANXA5,GENE,1,PSYCHIATRIC
ANXA6,ANXA6,GENE,1,PSYCHIATRIC
AOC2,AOC2,GENE,1,PSYCHIATRIC
AOC3,AOC3,GENE,1,PSYCHIATRIC
APAF1,APAF1,GENE,1,PSYCHIATRIC
APBA1,APBA1,GENE,1,PSYCHIATRIC
APBA2,APBA2,GENE,1,PSYCHIATRIC
APBB1,APBB1,GENE,1,PSYCHIATRIC
APBB2,APBB2,GENE,1,PSYCHIATRIC
APC,APC,GENE,1,PSYCHIATRIC
APCS,APCS,GENE,1,PSYCHIATRIC
APEX1,APEX1,GENE,1,PSYCHIATRIC
APH1A,APH1A,GENE,1,PSYCHIATRIC
APLN,APLN,GENE,1,PSYCHIATRIC
APLP1,APLP1,GENE,1,PSYCHIATRIC
APLP2,APLP2,GENE,1,PSYCHIATRIC
APOA1,APOA1,GENE,1,PSYCHIATRIC
APOA4,APOA4,GENE,1,PSYCHIATRIC
APOB,APOB,GENE,1,PSYCHIATRIC
APOC1,APOC1,GENE,1,PSYCHIATRIC
APOC2,APOC2,GENE,1,PSYCHIATRIC
APOD,APOD,GENE,1,PSYCHIATRIC
APOE,APOE,GENE,1,PSYCHIATRIC
APP,APP,GENE,1,PSYCHIATRIC
AQP4,AQP4,GENE,1,PSYCHIATRIC
AR,AR,GENE,1,PSYCHIATRIC
ARC,ARC,GENE,1,PSYCHIATRIC
ARFGAP1,ARFGAP1,GENE,1,PSYCHIATRIC
ARFGEF1,ARFGEF1,GENE,1,PSYCHIATRIC
ARHGAP32,ARHGAP32,GENE,1,PSYCHIATRIC
ARHGAP33,ARHGAP33,GENE,1,PSYCHIATRIC
ARHGEF7,ARHGEF7,GENE,1,PSYCHIATRIC
ARID1B,ARID1B,GENE,1,PSYCHIATRIC
ARNTL,ARNTL,GENE,1,PSYCHIATRIC
ARR3,ARR3,GENE,1,PSYCHIATRIC
ARRB1,ARRB1,GENE,1,PSYCHIATRIC
ARSD,ARSD,GENE,1,PSYCHIATRIC
ARTN,ARTN,GENE,1,PSYCHIATRIC
ARX,ARX,GENE,1,PSYCHIATRIC
ASCL1,ASCL1,GENE,1,PSYCHIATRIC
ASD1,ASD1,GENE,1,PSYCHIATRIC
ASIC1,ASIC1,GENE,1,PSYCHIATRIC
ASMT,ASMT,GENE,1,PSYCHIATRIC
ASTN2,ASTN2,GENE,1,PSYCHIATRIC
ATCAY,ATCAY,GENE,1,PSYCHIATRIC
ATF4,ATF4,GENE,1,PSYCHIATRIC
ATF6,ATF6,GENE,1,PSYCHIATRIC
ATG5,ATG5,GENE,1,PSYCHIATRIC
ATG7,ATG7,GENE,1,PSYCHIATRIC
ATM,ATM,GENE,1,PSYCHIATRIC
ATN1,ATN1,GENE,1,PSYCHIATRIC
ATP13A2,ATP13A2,GENE,1,PSYCHIATRIC
ATP2B2,ATP2B2,GENE,1,PSYCHIATRIC
ATP5A1,ATP5A1,GENE,1,PSYCHIATRIC
ATP6V0A4,ATP6V0A4,GENE,1,PSYCHIATRIC
ATP7B,ATP7B,GENE,1,PSYCHIATRIC
ATXN2,ATXN2,GENE,1,PSYCHIATRIC
