"Source","Target"
"Formation of Fibrin Clot (Clotting Cascade)","A2M"
"Lipid digestion, mobilization, and transport","A2M"
"ISG15 antiviral mechanism","AAAS"
"Cellular response to heat stress","AAAS"
"SUMO E3 ligases SUMOylate target proteins","AAAS"
"Phase 1 - Functionalization of compounds","AADAC"
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism","AADAT"
"Amine-derived hormones","AANAT"
"tRNA Aminoacylation","AARS1"
"tRNA Aminoacylation","AARS2"
"Metabolism of water-soluble vitamins and cofactors","AASDHPPT"
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism","AASS"
"p75 NTR receptor-mediated signalling","AATF"
"Neurotransmitter Release Cycle","ABAT"
"Lipid digestion, mobilization, and transport","ABCA1"
"ABC-family proteins mediated transport","ABCA10"
"ABC-family proteins mediated transport","ABCA12"
"ABC-family proteins mediated transport","ABCA2"
"Surfactant metabolism","ABCA3"
"ABC-family proteins mediated transport","ABCA3"
"Visual phototransduction","ABCA4"
"ABC-family proteins mediated transport","ABCA4"
"ABC-family proteins mediated transport","ABCA6"
"ABC-family proteins mediated transport","ABCA7"
"ABC-family proteins mediated transport","ABCA8"
"ABC-family proteins mediated transport","ABCA9"
"ABC-family proteins mediated transport","ABCB1"
"ABC-family proteins mediated transport","ABCB10"
"Bile acid and bile salt metabolism","ABCB11"
"ABC-family proteins mediated transport","ABCB4"
"ABC-family proteins mediated transport","ABCB5"
"ABC-family proteins mediated transport","ABCB6"
"ABC-family proteins mediated transport","ABCB7"
"ABC-family proteins mediated transport","ABCB8"
"ABC-family proteins mediated transport","ABCB9"
"ABC-family proteins mediated transport","ABCC1"
"Arachidonic acid metabolism","ABCC1"
"Metabolism of water-soluble vitamins and cofactors","ABCC1"
"ABC-family proteins mediated transport","ABCC10"
"ABC-family proteins mediated transport","ABCC11"
"ABC-family proteins mediated transport","ABCC2"
"ABC-family proteins mediated transport","ABCC3"
"Bile acid and bile salt metabolism","ABCC3"
"ABC-family proteins mediated transport","ABCC4"
"Hyaluronan metabolism","ABCC5"
"ABC-family proteins mediated transport","ABCC5"
"ABC-family proteins mediated transport","ABCC6"
"ABC-family proteins mediated transport","ABCC8"
"Potassium Channels","ABCC8"
"Regulation of insulin secretion","ABCC8"
"Disorders of transmembrane transporters","ABCC8"
"ABC-family proteins mediated transport","ABCC9"
"Potassium Channels","ABCC9"
"Peroxisomal lipid metabolism","ABCD1"
"ABC-family proteins mediated transport","ABCD1"
"ABC-family proteins mediated transport","ABCD2"
"ABC-family proteins mediated transport","ABCD3"
"Metabolism of water-soluble vitamins and cofactors","ABCD4"
"ABC-family proteins mediated transport","ABCE1"
"ABC-family proteins mediated transport","ABCF1"
"ABC-family proteins mediated transport","ABCG1"
"Lipid digestion, mobilization, and transport","ABCG1"
"Iron uptake and transport","ABCG2"
"ABC-family proteins mediated transport","ABCG4"
"ABC-family proteins mediated transport","ABCG5"
"Lipid digestion, mobilization, and transport","ABCG5"
"Lipid digestion, mobilization, and transport","ABCG8"
"ABC-family proteins mediated transport","ABCG8"
"Phase II conjugation","ABHD10"
"Effects of PIP2 hydrolysis","ABHD12"
"Phase II conjugation","ABHD14B"
"Synthesis of PC","ABHD3"
"Lipid digestion, mobilization, and transport","ABHD5"
"Effects of PIP2 hydrolysis","ABHD6"
"Regulation of actin dynamics for phagocytic cup formation","ABI1"
"Regulation of actin dynamics for phagocytic cup formation","ABI2"
"Myogenesis","ABL1"
"Regulation of actin dynamics for phagocytic cup formation","ABL1"
"Netrin-1 signaling","ABLIM1"
"Netrin-1 signaling","ABLIM2"
"Netrin-1 signaling","ABLIM3"
"p75 NTR receptor-mediated signalling","ABR"
"Peroxisomal lipid metabolism","ACAA1"
"Metabolism of water-soluble vitamins and cofactors","ACACA"
"Diseases of metabolism","ACACA"
"Regulation of cholesterol biosynthesis by SREBP (SREBF)","ACACA"
"Regulation of cholesterol biosynthesis by SREBP (SREBF)","ACACB"
"Metabolism of water-soluble vitamins and cofactors","ACACB"
"Diseases of metabolism","ACACB"
"Branched-chain amino acid catabolism","ACAD8"
"Branched-chain amino acid catabolism","ACADSB"
"Unfolded Protein Response (UPR)","ACADVL"
"Keratan sulfate/keratin metabolism","ACAN"
"Diseases of glycosylation","ACAN"
"ECM proteoglycans","ACAN"
