"Id","Label","Class"
"glycogen breakdown glycogenolysis","glycogen breakdown glycogenolysis","Term"
"translation","translation","Term"
"pyrimidine catabolism","pyrimidine catabolism","Term"
"inhibition of the proteolytic activity of apc c required for the onset of anaphase by mitotic spindle checkpoint components","inhibition of the proteolytic activity of apc c required for the onset of anaphase by mitotic spindle checkpoint components","Term"
"pyruvate metabolism and citric acid tca cycle","pyruvate metabolism and citric acid tca cycle","Term"
"apoptotic cleavage of cellular proteins","apoptotic cleavage of cellular proteins","Term"
"activation of the pre replicative complex","activation of the pre replicative complex","Term"
"processing of intronless pre mrnas","processing of intronless pre mrnas","Term"
"gap junction degradation","gap junction degradation","Term"
"base excision repair","base excision repair","Term"
"bile acid and bile salt metabolism","bile acid and bile salt metabolism","Term"
"synthesis of bile acids and bile salts via 7alpha hydroxycholesterol","synthesis of bile acids and bile salts via 7alpha hydroxycholesterol","Term"
"recycling of bile acids and salts","recycling of bile acids and salts","Term"
"signaling by rho gtpases","signaling by rho gtpases","Term"
"signaling by wnt","signaling by wnt","Term"
"metabolism of non coding rna","metabolism of non coding rna","Term"
"synthesis of bile acids and bile salts via 24 hydroxycholesterol","synthesis of bile acids and bile salts via 24 hydroxycholesterol","Term"
"synthesis of bile acids and bile salts","synthesis of bile acids and bile salts","Term"
"androgen biosynthesis","androgen biosynthesis","Term"
"insulin receptor recycling","insulin receptor recycling","Term"
"nef mediated downregulation of mhc class i complex cell surface expression","nef mediated downregulation of mhc class i complex cell surface expression","Term"
"signaling by scf kit","signaling by scf kit","Term"
"developmental biology","developmental biology","Term"
"cross presentation of soluble exogenous antigens endosomes","cross presentation of soluble exogenous antigens endosomes","Term"
"signaling by nodal","signaling by nodal","Term"
"dag and ip3 signaling","dag and ip3 signaling","Term"
"spry regulation of fgf signaling","spry regulation of fgf signaling","Term"
"antigen processing cross presentation","antigen processing cross presentation","Term"
"growth hormone receptor signaling","growth hormone receptor signaling","Term"
"cell cell communication","cell cell communication","Term"
"endosomal vacuolar pathway","endosomal vacuolar pathway","Term"
"tetrahydrobiopterin bh4 synthesis recycling salvage and regulation","tetrahydrobiopterin bh4 synthesis recycling salvage and regulation","Term"
"meiosis","meiosis","Term"
"g0 and early g1","g0 and early g1","Term"
"regulation of kit signaling","regulation of kit signaling","Term"
"nef mediates down modulation of cell surface receptors by recruiting them to clathrin adapters","nef mediates down modulation of cell surface receptors by recruiting them to clathrin adapters","Term"
"immunoregulatory interactions between a lymphoid and a non lymphoid cell","immunoregulatory interactions between a lymphoid and a non lymphoid cell","Term"
"vitamin b5 pantothenate metabolism","vitamin b5 pantothenate metabolism","Term"
"metabolism of vitamins and cofactors","metabolism of vitamins and cofactors","Term"
"trans golgi network vesicle budding","trans golgi network vesicle budding","Term"
"resolution of ap sites via the multiple nucleotide patch replacement pathway","resolution of ap sites via the multiple nucleotide patch replacement pathway","Term"
"gamma carboxylation transport and amino terminal cleavage of proteins","gamma carboxylation transport and amino terminal cleavage of proteins","Term"
"cell cycle","cell cycle","Term"
"signaling by erbb4","signaling by erbb4","Term"
"orc1 removal from chromatin","orc1 removal from chromatin","Term"
"o linked glycosylation of mucins","o linked glycosylation of mucins","Term"
"sulfur amino acid metabolism","sulfur amino acid metabolism","Term"
"antiviral mechanism by ifn stimulated genes","antiviral mechanism by ifn stimulated genes","Term"
"prolactin receptor signaling","prolactin receptor signaling","Term"
"signaling by erbb2","signaling by erbb2","Term"
"sphingolipid de novo biosynthesis","sphingolipid de novo biosynthesis","Term"
"termination of o glycan biosynthesis","termination of o glycan biosynthesis","Term"
"defensins","defensins","Term"
"grb2 events in erbb2 signaling","grb2 events in erbb2 signaling","Term"
"signaling by egfr in cancer","signaling by egfr in cancer","Term"
"beta defensins","beta defensins","Term"
"srp dependent cotranslational protein targeting to membrane","srp dependent cotranslational protein targeting to membrane","Term"
"pi3k events in erbb4 signaling","pi3k events in erbb4 signaling","Term"
"shc1 events in erbb4 signaling","shc1 events in erbb4 signaling","Term"
"pi3k events in erbb2 signaling","pi3k events in erbb2 signaling","Term"
"nuclear signaling by erbb4","nuclear signaling by erbb4","Term"
"glycosphingolipid metabolism","glycosphingolipid metabolism","Term"
"degradation of the extracellular matrix","degradation of the extracellular matrix","Term"
"mitochondrial protein import","mitochondrial protein import","Term"
"signaling by hippo","signaling by hippo","Term"
"activated notch1 transmits signal to the nucleus","activated notch1 transmits signal to the nucleus","Term"
"trafficking and processing of endosomal tlr","trafficking and processing of endosomal tlr","Term"
"signaling by notch4","signaling by notch4","Term"
"downstream signaling events of b cell receptor bcr","downstream signaling events of b cell receptor bcr","Term"
"activation of nf kappab in b cells","activation of nf kappab in b cells","Term"
"yap1 and wwtr1 taz stimulated gene expression","yap1 and wwtr1 taz stimulated gene expression","Term"
"signaling by notch2","signaling by notch2","Term"
"pre notch expression and processing","pre notch expression and processing","Term"
"signaling by the b cell receptor bcr","signaling by the b cell receptor bcr","Term"
"extracellular matrix organization","extracellular matrix organization","Term"
"notch1 intracellular domain regulates transcription","notch1 intracellular domain regulates transcription","Term"
"pre notch processing in golgi","pre notch processing in golgi","Term"
"signaling by notch1","signaling by notch1","Term"
"signaling by notch3","signaling by notch3","Term"
"triglyceride biosynthesis","triglyceride biosynthesis","Term"
"insulin receptor signalling cascade","insulin receptor signalling cascade","Term"
"arms mediated activation","arms mediated activation","Term"
"prolonged erk activation events","prolonged erk activation events","Term"
"signalling to ras","signalling to ras","Term"
"signaling by bmp","signaling by bmp","Term"
"cell surface interactions at the vascular wall","cell surface interactions at the vascular wall","Term"
"signalling to erks","signalling to erks","Term"
"p38mapk events","p38mapk events","Term"
"acyl chain remodelling of pi","acyl chain remodelling of pi","Term"
"tgf beta receptor signaling in emt epithelial to mesenchymal transition","tgf beta receptor signaling in emt epithelial to mesenchymal transition","Term"
"downregulation of tgf beta receptor signaling","downregulation of tgf beta receptor signaling","Term"
"collagen formation","collagen formation","Term"
"signaling by fgfr in disease","signaling by fgfr in disease","Term"
"hs gag degradation","hs gag degradation","Term"
"synthesis of pips at the early endosome membrane","synthesis of pips at the early endosome membrane","Term"
"signalling to p38 via rit and rin","signalling to p38 via rit and rin","Term"
"acyl chain remodelling of pc","acyl chain remodelling of pc","Term"
"synthesis of pips at the golgi membrane","synthesis of pips at the golgi membrane","Term"
"tgf beta receptor signaling activates smads","tgf beta receptor signaling activates smads","Term"
"phospholipid metabolism","phospholipid metabolism","Term"
"cs ds degradation","cs ds degradation","Term"
"synthesis of pa","synthesis of pa","Term"
"synthesis of pips at the late endosome membrane","synthesis of pips at the late endosome membrane","Term"
"synthesis of pe","synthesis of pe","Term"
"gastrin creb signalling pathway via pkc and mapk","gastrin creb signalling pathway via pkc and mapk","Term"
"chondroitin sulfate biosynthesis","chondroitin sulfate biosynthesis","Term"
"hyaluronan uptake and degradation","hyaluronan uptake and degradation","Term"
"synthesis of pips at the plasma membrane","synthesis of pips at the plasma membrane","Term"
"the activation of arylsulfatases","the activation of arylsulfatases","Term"
"hyaluronan metabolism","hyaluronan metabolism","Term"
"keratan sulfate biosynthesis","keratan sulfate biosynthesis","Term"
"reversible hydration of carbon dioxide","reversible hydration of carbon dioxide","Term"
"pi metabolism","pi metabolism","Term"
"abacavir transport and metabolism","abacavir transport and metabolism","Term"
"chondroitin sulfate dermatan sulfate metabolism","chondroitin sulfate dermatan sulfate metabolism","Term"
"synthesis of pc","synthesis of pc","Term"
"hs gag biosynthesis","hs gag biosynthesis","Term"
"keratan sulfate keratin metabolism","keratan sulfate keratin metabolism","Term"
"apoptosis induced dna fragmentation","apoptosis induced dna fragmentation","Term"
"keratan sulfate degradation","keratan sulfate degradation","Term"
"heparan sulfate heparin hs gag metabolism","heparan sulfate heparin hs gag metabolism","Term"
"glycosaminoglycan metabolism","glycosaminoglycan metabolism","Term"
"acyl chain remodelling of pg","acyl chain remodelling of pg","Term"
"acyl chain remodelling of pe","acyl chain remodelling of pe","Term"
"acyl chain remodelling of ps","acyl chain remodelling of ps","Term"
"mhc class ii antigen presentation","mhc class ii antigen presentation","Term"
"glycerophospholipid biosynthesis","glycerophospholipid biosynthesis","Term"
"a tetrasaccharide linker sequence is required for gag synthesis","a tetrasaccharide linker sequence is required for gag synthesis","Term"
"cdk mediated phosphorylation and removal of cdc6","cdk mediated phosphorylation and removal of cdc6","Term"
"platelet adhesion to exposed collagen","platelet adhesion to exposed collagen","Term"
"vegf ligand receptor interactions","vegf ligand receptor interactions","Term"
"microrna mirna biogenesis","microrna mirna biogenesis","Term"
"nuclear events kinase and transcription factor activation","nuclear events kinase and transcription factor activation","Term"
"retrograde neurotrophin signalling","retrograde neurotrophin signalling","Term"
"erks are inactivated","erks are inactivated","Term"
"negative regulation of the pi3k akt network","negative regulation of the pi3k akt network","Term"
"pi3k akt activation","pi3k akt activation","Term"
"egfr downregulation","egfr downregulation","Term"
"processing of capped intron containing pre mrna","processing of capped intron containing pre mrna","Term"
"pecam1 interactions","pecam1 interactions","Term"
"tcr signaling","tcr signaling","Term"
"regulation of pyruvate dehydrogenase pdh complex","regulation of pyruvate dehydrogenase pdh complex","Term"
"downstream tcr signaling","downstream tcr signaling","Term"
"basigin interactions","basigin interactions","Term"
"akt phosphorylates targets in the cytosol","akt phosphorylates targets in the cytosol","Term"
"gab1 signalosome","gab1 signalosome","Term"
"shc1 events in egfr signaling","shc1 events in egfr signaling","Term"
"activation of the mrna upon binding of the cap binding complex and eifs and subsequent binding to 43s","activation of the mrna upon binding of the cap binding complex and eifs and subsequent binding to 43s","Term"
"phosphorylation of cd3 and tcr zeta chains","phosphorylation of cd3 and tcr zeta chains","Term"
"glutamate neurotransmitter release cycle","glutamate neurotransmitter release cycle","Term"
"translocation of zap 70 to immunological synapse","translocation of zap 70 to immunological synapse","Term"
"tie2 signaling","tie2 signaling","Term"
"generation of second messenger molecules","generation of second messenger molecules","Term"
"generic transcription pathway","generic transcription pathway","Term"
"transport of mature transcript to cytoplasm","transport of mature transcript to cytoplasm","Term"
"metabolism of amino acids and derivatives","metabolism of amino acids and derivatives","Term"
"fatty acyl coa biosynthesis","fatty acyl coa biosynthesis","Term"
"e2f enabled inhibition of pre replication complex formation","e2f enabled inhibition of pre replication complex formation","Term"
"p75ntr recruits signalling complexes","p75ntr recruits signalling complexes","Term"
"biological oxidations","biological oxidations","Term"
"regulated proteolysis of p75ntr","regulated proteolysis of p75ntr","Term"
"transmission across chemical synapses","transmission across chemical synapses","Term"
"caspase mediated cleavage of cytoskeletal proteins","caspase mediated cleavage of cytoskeletal proteins","Term"
"xenobiotics","xenobiotics","Term"
"integrin cell surface interactions","integrin cell surface interactions","Term"
