"Source","Target","pval","comm","logpval"
"ABC-family proteins mediated transport","Activation of Matrix Metalloproteinases",1,0,0
"ABC-family proteins mediated transport","Activation of NMDA receptor upon glutamate binding and postsynaptic events",1,0,0
"ABC-family proteins mediated transport","Amine compound SLC transporters",1,0,0
"ABC-family proteins mediated transport","Amine-derived hormones",1,0,0
"ABC-family proteins mediated transport","Amine ligand-binding receptors",1,0,0
"ABC-family proteins mediated transport","Amino acid synthesis and interconversion (transamination)",1,0,0
"ABC-family proteins mediated transport","Amyloid fiber formation",0.476861682186364,1,0.740528804596583
"ABC-family proteins mediated transport","Apoptotic execution  phase",1,0,0
"ABC-family proteins mediated transport","Arachidonic acid metabolism",0.396001828774851,1,0.92633644962001
"ABC-family proteins mediated transport","Basigin interactions",1,0,0
"ABC-family proteins mediated transport","Bile acid and bile salt metabolism",0.282740472437891,1,1.26322586061768
"ABC-family proteins mediated transport","Binding and Uptake of Ligands by Scavenger Receptors",0.506152378672702,1,0.68091751140737
"ABC-family proteins mediated transport","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",1,0,0
"ABC-family proteins mediated transport","Branched-chain amino acid catabolism",1,0,0
"ABC-family proteins mediated transport","Caspase activation via extrinsic apoptotic signalig pathway",1,0,0
"ABC-family proteins mediated transport","CD209 (DC-SIGN) signaling",1,0,0
"ABC-family proteins mediated transport","Cellular response to heat stress",1,0,0
"ABC-family proteins mediated transport","Chemokine receptors bind chemokines",1,0,0
"ABC-family proteins mediated transport","Circadian Clock",1,0,0
"ABC-family proteins mediated transport","Class B/2 (Secretin family receptors)",1,0,0
"ABC-family proteins mediated transport","Class C/3 (Metabotropic glutamate/pheromone receptors)",1,0,0
"ABC-family proteins mediated transport","CLEC7A (Dectin-1) signaling",1,0,0
"ABC-family proteins mediated transport","Collagen formation",1,0,0
"ABC-family proteins mediated transport","Complement cascade",1,0,0
"ABC-family proteins mediated transport","COPII (Coat Protein 2) Mediated Vesicle Transport",1,0,0
"ABC-family proteins mediated transport","COPI-independent Golgi-to-ER retrograde traffic",1,0,0
"ABC-family proteins mediated transport","Costimulation by the CD28 family",1,0,0
"ABC-family proteins mediated transport","Cyclin A/B1 associated events during G2/M transition",1,0,0
"ABC-family proteins mediated transport","Cytosolic sensors of pathogen-associated DNA",1,0,0
"ABC-family proteins mediated transport","Deactivation of the beta-catenin transactivating complex",1,0,0
"ABC-family proteins mediated transport","Deadenylation-dependent mRNA decay",1,0,0
"ABC-family proteins mediated transport","Death Receptor Signalling",1,0,0
"ABC-family proteins mediated transport","Defensins",1,0,0
"ABC-family proteins mediated transport","Detoxification of Reactive Oxygen Species",1,0,0
"ABC-family proteins mediated transport","Diseases of glycosylation",1,0,0
"ABC-family proteins mediated transport","Diseases of metabolism",1,0,0
"ABC-family proteins mediated transport","Disorders of transmembrane transporters",0.000328075086269906,3,8.02226805422408
"ABC-family proteins mediated transport","ECM proteoglycans",1,0,0
"ABC-family proteins mediated transport","Effects of PIP2 hydrolysis",1,0,0
"ABC-family proteins mediated transport","EGFR downregulation",1,0,0
"ABC-family proteins mediated transport","Eicosanoid ligand-binding receptors",1,0,0
"ABC-family proteins mediated transport","Elastic fibre formation",1,0,0
"ABC-family proteins mediated transport","Endosomal Sorting Complex Required For Transport (ESCRT)",1,0,0
"ABC-family proteins mediated transport","eNOS activation and regulation",1,0,0
"ABC-family proteins mediated transport","EPH-Ephrin signaling",1,0,0
"ABC-family proteins mediated transport","Formation of Fibrin Clot (Clotting Cascade)",1,0,0
"ABC-family proteins mediated transport","G1 Phase",1,0,0
"ABC-family proteins mediated transport","GABA receptor activation",1,0,0
"ABC-family proteins mediated transport","Gamma carboxylation, hypusine formation and arylsulfatase activation",1,0,0
"ABC-family proteins mediated transport","Glucose metabolism",1,0,0
"ABC-family proteins mediated transport","Glyoxylate metabolism and glycine degradation",1,0,0
"ABC-family proteins mediated transport","GPVI-mediated activation cascade",1,0,0
"ABC-family proteins mediated transport","Growth hormone receptor signaling",1,0,0
"ABC-family proteins mediated transport","Heparan sulfate/heparin (HS-GAG) metabolism",1,0,0
"ABC-family proteins mediated transport","Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",1,0,0
"ABC-family proteins mediated transport","Hyaluronan metabolism",0.14879721075483,1,1.90517090168605
"ABC-family proteins mediated transport","Integrin cell surface interactions",1,0,0
"ABC-family proteins mediated transport","Interferon alpha/beta signaling",0.476861682186364,1,0.740528804596583
"ABC-family proteins mediated transport","Interferon gamma signaling",1,0,0
"ABC-family proteins mediated transport","Interleukin-6 family signaling",1,0,0
"ABC-family proteins mediated transport","Intrinsic Pathway for Apoptosis",1,0,0
"ABC-family proteins mediated transport","Iron uptake and transport",1,0,0
"ABC-family proteins mediated transport","ISG15 antiviral mechanism",1,0,0
"ABC-family proteins mediated transport","Keratan sulfate/keratin metabolism",1,0,0
"ABC-family proteins mediated transport","L1CAM interactions",1,0,0
"ABC-family proteins mediated transport","Lipid digestion, mobilization, and transport",0.00421082730698778,4,5.47009614062006
"ABC-family proteins mediated transport","Macroautophagy",1,0,0
"ABC-family proteins mediated transport","MAP2K and MAPK activation",1,0,0
"ABC-family proteins mediated transport","Metabolism of nucleotides",1,0,0
"ABC-family proteins mediated transport","Metabolism of porphyrins",1,0,0
"ABC-family proteins mediated transport","Metabolism of water-soluble vitamins and cofactors",0.615597917720332,1,0.485161259543712
"ABC-family proteins mediated transport","Metal ion SLC transporters",1,0,0
"ABC-family proteins mediated transport","Miscellaneous transport and binding events",1,0,0
"ABC-family proteins mediated transport","Mitochondrial biogenesis",1,0,0
"ABC-family proteins mediated transport","MyD88-independent TLR3/TLR4 cascade",1,0,0
"ABC-family proteins mediated transport","Myogenesis",1,0,0
"ABC-family proteins mediated transport","NCAM1 interactions",1,0,0
"ABC-family proteins mediated transport","Negative regulation of MAPK pathway",1,0,0
"ABC-family proteins mediated transport","Negative regulation of the PI3K/AKT network",1,0,0
"ABC-family proteins mediated transport","Netrin-1 signaling",1,0,0
"ABC-family proteins mediated transport","Neurotransmitter Release Cycle",1,0,0
"ABC-family proteins mediated transport","N-glycan trimming in the ER and Calnexin/Calreticulin cycle",1,0,0
"ABC-family proteins mediated transport","Non-integrin membrane-ECM interactions",1,0,0
"ABC-family proteins mediated transport","Nuclear Receptor transcription pathway",1,0,0
