node,mod,degree,annot
neuronal system,1,1926.25957709364,Neurotransmission
transmission across chemical synapses,1,1832.9493873028,Neurotransmission
activation of nmda receptors and postsynaptic events,1,1440.44218872164,Neurotransmission
neurotransmitter receptors and postsynaptic signal transmission,1,1426.40194631478,Neurotransmission
creb1 phosphorylation through nmda receptor mediated activation of ras signaling,1,1170.79316730228,Neurotransmission
long term potentiation,1,1062.97136598253,Neurotransmission
unblocking of nmda receptors glutamate binding and activation,1,976.956803770914,Neurotransmission
assembly and cell surface presentation of nmda receptors,1,832.216859778356,Neurotransmission
protein protein interactions at synapses,1,824.911183016203,Neurotransmission
neurexins and neuroligins,1,659.411014340407,Neurotransmission
neurotransmitter release cycle,1,434.896959103261,Neurotransmission
negative regulation of nmda receptor mediated neuronal transmission,1,394.357074094367,Neurotransmission
synaptic adhesion like molecules,1,349.555826299767,Neurotransmission
ras activation upon ca2 influx through nmda receptor,1,317.857278460879,Neurotransmission
transcriptional regulation by mecp2,1,282.322801713651,Neurotransmission
trafficking of ampa receptors,1,222.392458924599,Neurotransmission
mecp2 regulates neuronal receptors and channels,1,166.978810555707,Neurotransmission
glutamate neurotransmitter release cycle,1,100.695860215605,Neurotransmission
activation of kainate receptors upon glutamate binding,1,98.7258360392217,Neurotransmission
ionotropic activity of kainate receptors,1,92.7922406072544,Neurotransmission
gaba synthesis release reuptake and degradation,1,91.5762204499239,Neurotransmission
dopamine neurotransmitter release cycle,1,82.3543703489768,Neurotransmission
serotonin neurotransmitter release cycle,1,82.3543703489768,Neurotransmission
norepinephrine neurotransmitter release cycle,1,72.5911808512848,Neurotransmission
neurotransmitter clearance,1,42.5404493953897,Neurotransmission
neurotoxicity of clostridium toxins,1,32.140413630471,Neurotransmission
na cl dependent neurotransmitter transporters,1,15.1917546370228,Neurotransmission
programmed cell death,2,1541.47703570551,"Cell fate: apoptosis, senesence, differentiation"
pten regulation,2,1414.51592580431,"Cell fate: apoptosis, senesence, differentiation"
cellular senescence,2,1375.73948209382,"Cell fate: apoptosis, senesence, differentiation"
transcriptional regulation by runx3,2,1237.37101335094,"Cell fate: apoptosis, senesence, differentiation"
oxidative stress induced senescence,2,1144.79122826211,"Cell fate: apoptosis, senesence, differentiation"
transcriptional regulation by runx2,2,1143.6676114982,"Cell fate: apoptosis, senesence, differentiation"
senescence associated secretory phenotype sasp ,2,1129.09105717639,"Cell fate: apoptosis, senesence, differentiation"
transcriptional regulation by tp53,2,1089.5595616811,"Cell fate: apoptosis, senesence, differentiation"
mitotic g1 phase and g1 s transition,2,961.297707386222,"Cell fate: apoptosis, senesence, differentiation"
mapk6 mapk4 signaling,2,835.869398219186,"Cell fate: apoptosis, senesence, differentiation"
deubiquitination,2,785.181511396091,"Cell fate: apoptosis, senesence, differentiation"
oncogene induced senescence,2,761.707462595253,"Cell fate: apoptosis, senesence, differentiation"
transcriptional regulation by runx1,2,688.768506674316,"Cell fate: apoptosis, senesence, differentiation"
tnfr2 non canonical nf kb pathway,2,677.188213009338,"Cell fate: apoptosis, senesence, differentiation"
ripk1 mediated regulated necrosis,2,673.694889670409,"Cell fate: apoptosis, senesence, differentiation"
ub specific processing proteases,2,647.049313597881,"Cell fate: apoptosis, senesence, differentiation"
caspase activation via death receptors in the presence of ligand,2,627.050581713505,"Cell fate: apoptosis, senesence, differentiation"
caspase activation via extrinsic apoptotic signalling pathway,2,618.27847915811,"Cell fate: apoptosis, senesence, differentiation"
regulation of pten gene transcription,2,614.771216892887,"Cell fate: apoptosis, senesence, differentiation"
regulation by c flip,2,548.966201677585,"Cell fate: apoptosis, senesence, differentiation"
