Source,Target
human,A1BG
human,A2M
human,A2MP1
human,NAT1
human,NAT2
human,NATP
human,SERPINA3
human,AADAC
human,AAMP
human,AANAT
human,AARS1
human,AAVS1
human,ABAT
human,ABCA1
human,ABCA2
human,ABCA3
human,ABCB7
human,ABCF1
human,ABCA4
human,ABL1
human,AOC1
human,ABL2
human,ABO
human,ABR
human,ACAA1
human,ACACA
human,ACACB
human,ACADL
human,ACADM
human,ACADS
human,ACADSB
human,ACADVL
human,ACAT1
human,ACAT2
human,ASIC2
human,ASIC1
human,ACHE
human,ACLS
human,ACLY
human,ACO1
human,ACR
human,ACO2
human,ACOX1
human,ACP1
human,ACP2
human,ACP5
human,ACP3
human,ACRV1
human,ACTA1
human,ACTA2
human,ACTB
human,ACTBP2
human,ACTBP3
human,ACTBP4
human,ACTBP6
human,ACTBP7
human,ACTBP8
human,ACTBP9
human,ACTC1
human,ACTG1
human,ACTG2
human,ACTG1P1
human,ACTG1P2
human,ACTG1P3
human,ACTG1P6
human,ACTG1P7
human,ACTG1P8
human,ACTN4
human,ACTG1P9
human,ACTG1P10
human,ACTL6A
human,ACTN1
human,ACTN2
human,ACTN3
human,ACVR1
human,ACVR1B
human,ACVR2A
human,ACVR2B
human,ACVRL1
human,ACY1
human,ACYP1
human,ACYP2
human,ADA
human,ADAM8
human,ADAM10
human,ADAR
human,ADARB1
human,ADARB2
human,ADCP1
human,ADCY1
human,ADCY2
human,ADCY3
human,ADCY5
human,ADCY6
human,ADCY7
human,ADCY8
human,ADCY9
human,ADCYAP1
human,ADCYAP1R1
human,ADD1
human,ADD2
human,ADD3
human,ADFN
human,PLIN2
human,ADH1A
human,ADH1B
human,ADH1C
human,ADH4
human,ADH5
human,ADH6
human,ADH7
human,ADK
human,ADM
human,ADORA1
human,ADORA2A
human,ADORA2B
human,ADORA2BP1
human,ADORA3
human,ADPRH
human,PARP1
human,PARP4
human,PARP1P1
human,PARP1P2
human,ADRA1D
human,ADRA1B
human,ADRA1A
human,ADRA2A
human,ADRA2B
human,ADRA2C
human,ADRB1
human,ADRB2
human,ADRB3
human,GRK2
human,GRK3
human,ADSL
human,ADSS2
human,AP2A1
