"edge","Source","Target","year","count","pvalue","p.adjust","geneID","Count","logpadj","logpval","class_source","class_target","comparison","between","sim_paper"
"AGE RELATED OSTEOPOROSIS_HELICOBACTER PYLORI INFECTION","AGE RELATED OSTEOPOROSIS","HELICOBACTER PYLORI INFECTION",2018,14,1.34471937604216e-10,1.17662945403689e-09,"AHSG/AKT1/CDH1/CDX2/CRP/CTNNB1/HSP90AA1/IFNG/IL17A/IL1B/IL1RN/IL33/IL6/IL8/MMP9/NF-KB/NFKB1/NOS2/PPARG/PTGS2/TNF/TRPV1",22,20.5606118806338,22.7296655810033,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",1.51531103873356
"AGE RELATED OSTEOPOROSIS_HEPATITIS B","AGE RELATED OSTEOPOROSIS","HEPATITIS B",2018,23,1.13118346912766e-07,4.94892767743352e-07,"AKT1/ANPEP/ANXA2/APOE/AR/CAV1/CCL2/CD34/CDH1/CP/CRP/CTNNB1/ESR1/EZH2/FOXO1/GH1/HAMP/HSP90AA1/IFNG/IGFBP1/IL1/IL17A/IL18/IL1B/IL33/IL6/IL8/INS/MIF/MIR34A/MMP9/MSC/MTOR/NF-KB/NFKB1/NOS2/PPARG/PPIA/PTGS2/PTH/SIRT1/SOD2/SP1/SPP1/SUPEROXIDE DISMUTASE/TGFB1/TNF/WNT1",48,14.5189247286671,15.9948312484767,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",0.666451302019861
"AGE RELATED OSTEOPOROSIS_LEISHMANIASES","AGE RELATED OSTEOPOROSIS","LEISHMANIASES",2018,1,2.33462685692749e-06,7.78208952309163e-06,"CD40/IFNG/IGF1/IL1/IL17A/IL18/IL1B/IL6/MIF/NF-KB/NOS2/P2RX7/TNF",13,11.7636856796013,12.9676584839272,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",6.4838292419636
"AGE RELATED OSTEOPOROSIS_MALARIA","AGE RELATED OSTEOPOROSIS","MALARIA",2018,6,6.33947789486206e-07,2.33559711915971e-06,"AGTR1/AKT1/ANGIOTENSIN II/ANPEP/APOE/CCL2/CD40/CRP/CYP27A1/DBP/HAMP/HBM/HSP90AA1/HSPB3/IFNG/IGF1/IL1/IL17A/IL18/IL1B/IL33/IL6/IL8/INS/LEP/MIF/MMP9/MTOR/NF-KB/NOS2/PPARG/PRL/SUPEROXIDE DISMUTASE/TGFB1/TNF/TNFRSF11B/TRPV1",37,12.9672429739854,14.2712992368683,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",2.03875703383833
"AGE RELATED OSTEOPOROSIS_MYCOBACTERIUM INFECTION","AGE RELATED OSTEOPOROSIS","MYCOBACTERIUM INFECTION",2018,83,2.85700061435788e-06,8.69521926108919e-06,"CCL2/IFNG/IL1/IL17A/IL18/IL1B/IL37/IL8/MTOR/NOS2/P2RX7/PPARG/SPP1/TNF",14,11.6527371935594,12.7657382196797,"INFLAMMATORY","INFECTIOUS","between_classes","INFLAMMATORY_vs_INFECTIOUS",0.151973074043805
"ALZHEIMER DISEASE_ARTHRITIS","ALZHEIMER DISEASE","ARTHRITIS",2018,126,5.57644756175914e-18,6.50585548871899e-17,"ACE/ACTH/ADCYAP1/ADIPOQ/ADM/ADRB2/AKT1/ALB/ALOX15/ALOX5/ANG/APOE/BCL2/BCL2L1/CASP1/CASP8/CCL2/CCL3/CCL5/CCR2/CCR5/CCR6/CD14/CD40/CD40LG/CD44/CD55/CDK5R1/CDKN1A/CHI3L1/CNR1/CR1/CRH/CRP/CSF1/CSF1R/CSF2/CSF3/CTGF/CX3CL1/CXCL10/CXCR2/CYBB/CYCS/DKK1/EDN1/ELANE/ENO1/EPO/ESR1/F2/FAS/FASLG/FCGR2B/FGF2/FN1/FOS/FOXO3/GAPDH/GH1/GPI/GRN/GSK3B/GSN/HDAC/HIF1A/HLA-DRB4/HMGB1/HMOX1/HP/HSP90B2P/HSPA4/HSPA5/HTRA1/ICAM1/IFNA1/IFNB1/IFNG/IGF1/IGHM/IGKV2D-29/IL1/IL10/IL12/IL1A/IL1B/IL1RN/IL2/IL23A/IL33/IL34/IL4/IL6/IL6R/IL8/JUN/KDR/KLK4/KNG1/LEP/LGALS3/LYZ/MAPK14/MAPK8/MBP/MDK/MIF/MIR146A/MIR155/MMP3/MMP9/MPO/MSC/NFE2L2/NF-KB/NFKB1/NGF/NLRP3/NOS2/NOTCH1/P2RX7/PARP1/PDCD1/PLA2G1B/PLAU/PLG/PPARG/PRKAB1/PTEN/PTGER2/PTGES/PTGS2/S100A12/S100A9/S1PR1/SELE/SIRT1/SPHK1/SPP1/SST/STAT3/SUBSTANCE P/SUPEROXIDE DISMUTASE/TBX5/TGFB1/THBS1/TIMP1/TLR2/TLR4/TNF/TNFRSF10A/TNFRSF1A/TP53/TREM1/UBIQUITIN/VDR/VEGFA/VIP/ZFP36",159,37.2712439650957,39.727979737917,"PSYCHIATRIC","INFLAMMATORY","between_classes","PSYCHIATRIC_vs_INFLAMMATORY",0.312818738093835
"ALZHEIMER DISEASE_CHRONIC ULCERATIVE COLITIS","ALZHEIMER DISEASE","CHRONIC ULCERATIVE COLITIS",2018,4,2.58960947575715e-13,2.01414070336667e-12,"ABCB1/ACE/ACTH/ADIPOQ/ADM/AKT1/ALB/ALOX5/BAX/BCHE/BCL2/BECN1/CCL3/CCR6/CD14/CD44/CDH1/CDKN1A/CNR1/CRP/CSF3/CTNNB1/CXCL10/CXCR2/EDN1/ESR1/F2/FAS/FGF2/FOXO3/GCG/GH1/HGF/HIF1A/HLA-DRB4/HMGB1/HSPA4/ICAM1/IFNB1/IFNG/IL1/IL10/IL12/IL1B/IL1RN/IL2/IL23A/IL33/IL4/IL6/IL8/KDR/LTF/LYZ/MAPK8/MIF/MIR146A/MIR155/MME/MMP3/MMP9/MPO/MSC/MTHFR/NFE2L2/NF-KB/NFKB1/NLRP3/NOS2/PPARG/PTGS1/PTGS2/S100A12/S100A9/S100B/S1PR1/SST/STAT3/SUBSTANCE P/SUPEROXIDE DISMUTASE/TGFB1/TIMP1/TLR2/TLR4/TNF/TP53/VDR/VEGFA/VIP",89,26.9308284614276,28.9820991261408,"PSYCHIATRIC","INFLAMMATORY","between_classes","PSYCHIATRIC_vs_INFLAMMATORY",5.79641982522816
"ALZHEIMER DISEASE_HELICOBACTER PYLORI INFECTION","ALZHEIMER DISEASE","HELICOBACTER PYLORI INFECTION",2018,19,2.81139167130358e-10,1.15763186465442e-09,"AKT1/CASP3/CD14/CDH1/CDK1/CDKN2A/CRP/CTNNB1/EGFR/HIF1A/HSP90AA1/HSPA4/IFNA1/IFNG/IL10/IL1B/IL1RN/IL23A/IL33/IL4/IL6/IL8/JUN/MAPK1/MBL2/MIR155/MMP3/MMP9/NF-KB/NFKB1/NOS2/PPARG/PTGS2/STAT3/TLR2/TLR4/TNF/TP53/VEGFA",39,20.5768894145091,21.9921713125023,"PSYCHIATRIC","INFECTIOUS","between_classes","PSYCHIATRIC_vs_INFECTIOUS",1.09960856562511
"ALZHEIMER DISEASE_HEPATITIS B","ALZHEIMER DISEASE","HEPATITIS B",2018,3,3.40950669493524e-12,1.70475334746762e-11,"AAVS1/AKT1/ALB/ANXA5/APOA1/APOB/APOE/AR/BCL2/BECN1/BLVRA/CAV1/CCL2/CCL5/CCR5/CD14/CD36/CDH1/CDKN1A/CDKN1B/CDKN2A/CFH/CP/CREB1/CRP/CSF2/CTGF/CTNNB1/CXCL10/EGFR/EIF2AK2/ELANE/EPO/ESR1/F2/FAS/FASLG/FN1/GAPDH/GH1/GIF/GSK3B/HGF/HLA-DRB4/HMGB1/HMOX1/HP/HSP90AA1/HSPA4/HSPA5/HSPA8/HSPA9/HSPB1/ICAM1/IFNA1/IFNB1/IFNG/IGHM/IL1/IL10/IL12/IL1B/IL2/IL23A/IL33/IL34/IL4/IL6/IL6R/IL8/INS/JUN/LTF/MAPK8/MBL2/MGAT3/MIF/MIR132/MIR146A/MIR155/MIR29C/MIR34A/MMP9/MSC/MSRA/MTOR/MX1/MYC/NCAM1/NF-KB/NFKB1/NOS2/NOTCH1/NUCB1/PARP1/PDCD1/PIN1/PPARA/PPARG/PPARGC1A/PPIF/PRKAA1/PSEN2/PTEN/PTGS2/RAF1/SIRT1/SIRT2/SIRT3/SOD2/SP1/SPHK1/SPP1/SST/STAT3/SUPEROXIDE DISMUTASE/TF/TFRC/TGFB1/TLR2/TLR4/TNF/TP53/TTR/UBIQUITIN/USF1/VEGFA",127,24.7950155869058,26.4044534993399,"PSYCHIATRIC","INFECTIOUS","between_classes","PSYCHIATRIC_vs_INFECTIOUS",6.60111337483497
"ALZHEIMER DISEASE_HERPES","ALZHEIMER DISEASE","HERPES",2018,78,1.04828386905959e-09,3.86209846495637e-09,"BCL2/CSF2/IFNA1/IFNB1/IFNG/IGHM/IL12/IL1B/IL1RN/IL6/NFKB1/NGF/PLAT/PTGS2/TNF/TP53/UBIQUITIN/VEGFA",18,19.3720551574193,20.6761114203022,"PSYCHIATRIC","INFECTIOUS","between_classes","PSYCHIATRIC_vs_INFECTIOUS",0.261722929370915
