"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","dis","mod","annot"
"signaling by interleukins","signaling by interleukins","37/174","462/10821",2.18119652583819e-16,1.19529569615933e-13,8.88550584736191e-14,"POMC/AKT1/ALOX15/ANXA2/CCL2/COL1A2/CSF1/CSF1R/FGF2/FOXO1/HSP90AA1/IFNG/IL1A/IL17A/IL18/IL1B/IL1RN/IL31/IL33/IL37/IL6/CXCL8/LIF/MAPK7/MIF/MMP9/NFKB1/NFKB2/RELA/NOS2/PPIA/PTGS2/PTK2B/SOD2/SOD1/TGFB1/TNF",37,"AGE RELATED OSTEOPOROSIS",8,"Interferon stimulated genes: interleukins and antigen presentation"
"interleukin 4 and interleukin 13 signaling","interleukin 4 and interleukin 13 signaling","20/174","111/10821",6.72509848480547e-16,1.8426769848367e-13,1.36979637558933e-13,"POMC/AKT1/ALOX15/CCL2/COL1A2/FGF2/FOXO1/HSP90AA1/IL1A/IL17A/IL18/IL1B/IL6/CXCL8/LIF/MMP9/NOS2/PTGS2/TGFB1/TNF",20,"AGE RELATED OSTEOPOROSIS",8,"Interferon stimulated genes: interleukins and antigen presentation"
"interleukin 10 signaling","interleukin 10 signaling","11/174","46/10821",1.10880334316508e-10,2.02541410684821e-08,1.50563822387679e-08,"CCL2/CSF1/IL1A/IL18/IL1B/IL1RN/IL6/CXCL8/LIF/PTGS2/TNF",11,"AGE RELATED OSTEOPOROSIS",8,"Interferon stimulated genes: interleukins and antigen presentation"
"peptide hormone metabolism","peptide hormone metabolism","12/174","90/10821",1.88475336813226e-08,2.04893844792764e-06,1.52312558461006e-06,"ACE/POMC/AGT/ANPEP/CDX2/CTNNB1/GCG/GH1/GIP/IGF1/INS/LEP",12,"AGE RELATED OSTEOPOROSIS",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"leishmania infection","leishmania infection","21/174","306/10821",1.91574807416713e-08,2.04893844792764e-06,1.52312558461006e-06,"POMC/ADM/CALCR/CRH/GCG/GIP/IL1A/IL18/IL1B/IL6/INSL3/NFKB1/NFKB2/RELA/P2RX7/PTGER4/PTH/PTH1R/PTHLH/RXFP2/TSHR",21,"AGE RELATED OSTEOPOROSIS",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"gpcr ligand binding","gpcr ligand binding","26/174","463/10821",2.24336326415435e-08,2.04893844792764e-06,1.52312558461006e-06,"POMC/ADM/AGTR1/AGT/CALCR/CASR/CCL2/CNR1/CNR2/CRH/GCG/GIP/CXCL8/INSL3/NPY/PTGER4/PTH/PTH1R/PTHLH/RXFP2/TAC1/TSHR/WNT1/WNT10B/WNT16/WNT4",26,"AGE RELATED OSTEOPOROSIS",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"adora2b mediated anti inflammatory cytokines production","adora2b mediated anti inflammatory cytokines production","14/174","133/10821",2.65568104230607e-08,2.07901887311961e-06,1.54548656146233e-06,"POMC/ADM/CALCR/CRH/GCG/GIP/IL6/INSL3/PTGER4/PTH/PTH1R/PTHLH/RXFP2/TSHR",14,"AGE RELATED OSTEOPOROSIS",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"purinergic signaling in leishmaniasis infection","purinergic signaling in leishmaniasis infection","7/174","24/10821",6.77034806802232e-08,4.12238971252914e-06,3.06447333605221e-06,"IL1A/IL18/IL1B/NFKB1/NFKB2/RELA/P2RX7",7,"AGE RELATED OSTEOPOROSIS",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"foxo mediated transcription","foxo mediated transcription","10/174","66/10821",8.65092881284453e-08,4.53423049327179e-06,3.37062466557085e-06,"POMC/AKT1/CAV1/DDIT3/FOXO1/IGFBP1/INS/NPY/SIRT1/SOD2",10,"AGE RELATED OSTEOPOROSIS",10,"NOTCH and FOXO mediated gene expression"
"transcriptional regulation of white adipocyte differentiation","transcriptional regulation of white adipocyte differentiation","11/174","84/10821",9.10155755948717e-08,4.53423049327179e-06,3.37062466557085e-06,"ADIPOQ/LEP/LPL/NFKB1/RELA/PPARG/TGFB1/TNF/WNT1/WNT10B/ZNF467",11,"AGE RELATED OSTEOPOROSIS",10,"NOTCH and FOXO mediated gene expression"
