"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Class"
"HGNC:4714","H1-0","H1.0 linker histone","H1FV,H1F0","H1.0","22q13.1","HISTONE H1"
"HGNC:4715","H1-1","H1.1 linker histone, cluster member","H1F1,HIST1H1A","H1.1,H1a","6p22.2","HISTONE H1"
"HGNC:4716","H1-2","H1.2 linker histone, cluster member","H1F2,HIST1H1C","H1.2,H1s-1,H1c","6p22.2","HISTONE H1"
"HGNC:4717","H1-3","H1.3 linker histone, cluster member","H1F3,HIST1H1D","H1.3,H1d,H1s-2","6p22.2","HISTONE H1"
"HGNC:4718","H1-4","H1.4 linker histone, cluster member","H1F4,HIST1H1E","H1.4,H1e,H1s-4","6p22.2","HISTONE H1"
"HGNC:4719","H1-5","H1.5 linker histone, cluster member","H1F5,HIST1H1B","H1b,H1s-3","6p22.1","HISTONE H1"
"HGNC:4720","H1-6","H1.6 linker histone, cluster member","H1FT,HIST1H1T","H1t","6p22.2","HISTONE H1"
"HGNC:24893","H1-7","H1.7 linker histone","H1FNT","HANP1,H1T2","12q13.11","HISTONE H1"
"HGNC:18463","H1-8","H1.8 linker histone","H1FOO",,"3q22.1","HISTONE H1"
"HGNC:30616","H1-9P","H1.9 linker histone, pseudogene","HILS1,H1-9","H1.9","17q21.33","HISTONE H1"
"HGNC:4722","H1-10","H1.10 linker histone","H1FX","MGC15959,MGC8350,H1X","3q21.3","HISTONE H1"
"HGNC:19163","H1-12P","H1.12 linker histone, cluster member pseudogene","HIST1H1PS1","dJ34B20.16,FLJ39701,H1F6P","6p22.2","HISTONE H1"
"HGNC:22516","H2AB1","H2A.B variant histone 1","H2AFB1",,"Xq28","HISTONE H2A"
"HGNC:18298","H2AB2","H2A.B variant histone 2","H2AFB2",,"Xq28","HISTONE H2A"
"HGNC:14455","H2AB3","H2A.B variant histone 3","H2AFB,H2AFB3",,"Xq28","HISTONE H2A"
"HGNC:18729","H2AC1","H2A clustered histone 1","HIST1H2AA","bA317E16.2,H2AFR","6p22.2","HISTONE H2A"
"HGNC:18720","H2AC2P","H2A clustered histone 2, pseudogene","HIST1H2APS1","bA317E16.5,H2AFSP","6p22.2","HISTONE H2A"
"HGNC:18804","H2AC3P","H2A clustered histone 3, pseudogene","H2AFTP,HIST1H2APS2","dJ139G21.2,H2A/T","6p22.2","HISTONE H2A"
"HGNC:4734","H2AC4","H2A clustered histone 4","H2AFM,HIST1H2AB","H2A/m","6p22.2","HISTONE H2A"
"HGNC:4728","H2AC5P","H2A clustered histone 5, pseudogene","H2AFFP,HIST1H2APS5","pH2A/f","6p22.2","HISTONE H2A"
"HGNC:4733","H2AC6","H2A clustered histone 6","H2AFL,HIST1H2AC",,"6p22.2","HISTONE H2A"
"HGNC:4729","H2AC7","H2A clustered histone 7","H2AFG,HIST1H2AD","H2A/g,H2A.3","6p22.2","HISTONE H2A"
"HGNC:4724","H2AC8","H2A clustered histone 8","H2AFA,HIST1H2AE","H2A/a,H2A.1","6p22.2","HISTONE H2A"
"HGNC:18805","H2AC9P","H2A clustered histone 9, pseudogene","HIST1H2APS3","dJ34B20.8,H2AFUP","6p22.2","HISTONE H2A"
"HGNC:4732","H2AC10P","H2A clustered histone 10, pseudogene","H2AFK,H2AFKP,HIST1H2APS4","pH2A/k,dJ34B20.2","6p22.2","HISTONE H2A"
"HGNC:4737","H2AC11","H2A clustered histone 11","H2AFP,HIST1H2AG","pH2A/f,H2A/p,H2A.1b","6p22.1","HISTONE H2A"
"HGNC:13671","H2AC12","H2A clustered histone 12","HIST1H2AH","H2AFALii,dJ86C11.1,H2A/S","6p22.1","HISTONE H2A"
"HGNC:4725","H2AC13","H2A clustered histone 13","H2AFC,HIST1H2AI","H2A/c","6p22.1","HISTONE H2A"
